Districts,Marginal,Small,Semi-Medium ,Medium,Large
ADILABAD,38320,44643,31113,7611,535
BHADRADRI,75738,32202,19815,4750,573
HYDERABAD,,,,,
JAGTIAL ,122152,33610,14069,4141,305
JANGAON ,90994,35348,15975,5459,406
JAYASHANKAR ,121526,38719,15624,3353,330
JOGULAMBA ,76414,39038,20267,6026,620
KAMAREDDY ,156771,55496,17783,3432,230
KARIMNAGAR ,104917,34191,12359,3045,219
KHAMMAM ,173692,58241,26821,8381,527
KOMARAM BHEEM ,37374,28260,24321,6819,589
MAHABUBABAD,89181,31077,13562,4937,860
MAHABUBNAGAR,180328,77611,38264,11618,1263
MANCHERIAL ,92733,30723,16756,4654,581
MEDAK ,166161,39441,10549,2151,232
MEDCHAL,19352,5239,2717,980,123
NAGARKURNOOL ,142416,67658,33672,8563,841
NALGONDA ,210618,96135,47503,14159,1185
NIRMAL ,90750,40308,18575,4905,425
NIZAMABAD ,162040,56510,16438,2857,204
PEDDAPALLI ,88992,27047,10175,2063,144
RAJANNA ,63243,24497,9235,2117,211
RANGAREDDY ,146188,57317,28672,9788,1123
SANGAREDDY ,164187,66954,28638,9524,1176
SIDDIPET ,174436,60486,21161,5871,562
SURYAPET ,136797,50579,23145,6577,487
VIKARABAD ,118473,59028,26578,6869,675
WANAPARTHY ,85944,31474,15557,4002,350
WARANGAL (R) ,138108,35510,12035,3027,210
WARANGAL (U),60877,18758,7201,1731,164
YADADRI ,91480,42290,19565,5717,497
