year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Rabi,Bhadradri Kothagudem,Yellandu,Paddy,64,12
2018-2019,Rabi,Bhadradri Kothagudem,Allapalli,Paddy,2,0
2018-2019,Rabi,Bhadradri Kothagudem,Gundala,Paddy,12,2
2018-2019,Rabi,Bhadradri Kothagudem,Tekulapally,Paddy,59,4
2018-2019,Rabi,Bhadradri Kothagudem,Kothagudem,Paddy,23,0
2018-2019,Rabi,Bhadradri Kothagudem,Sujathanagar,Paddy,89,1
2018-2019,Rabi,Bhadradri Kothagudem,Chunchupalli,Paddy,58,2
2018-2019,Rabi,Bhadradri Kothagudem,Laxmidevipalli,Paddy,100,25
2018-2019,Rabi,Bhadradri Kothagudem,Julurpadu,Paddy,54,1
2018-2019,Rabi,Bhadradri Kothagudem,Chandrugonda,Paddy,149,65
2018-2019,Rabi,Bhadradri Kothagudem,Annapureddipalli,Paddy,247,78
2018-2019,Rabi,Bhadradri Kothagudem,Dammapet,Paddy,350,154
2018-2019,Rabi,Bhadradri Kothagudem,Aswaraopet,Paddy,141,87
2018-2019,Rabi,Bhadradri Kothagudem,Mulkalapally,Paddy,137,73
2018-2019,Rabi,Bhadradri Kothagudem,Palwancha,Paddy,617,221
2018-2019,Rabi,Bhadradri Kothagudem,Burgampadu,Paddy,478,234
2018-2019,Rabi,Bhadradri Kothagudem,Manuguru,Paddy,403,198
2018-2019,Rabi,Bhadradri Kothagudem,Aswapuram,Paddy,572,267
2018-2019,Rabi,Bhadradri Kothagudem,Karakagudem,Paddy,338,158
2018-2019,Rabi,Bhadradri Kothagudem,Pinapaka,Paddy,882,489
2018-2019,Rabi,Bhadradri Kothagudem,Dummugudem,Paddy,367,157
2018-2019,Rabi,Bhadradri Kothagudem,Bhadrachalam,Paddy,0,0
2018-2019,Rabi,Bhadradri Kothagudem,Cherla,Paddy,642,127
2018-2019,Rabi,Bhadradri Kothagudem,Yellandu,Jowar,18,16
2018-2019,Rabi,Bhadradri Kothagudem,Allapalli,Jowar,4,5
2018-2019,Rabi,Bhadradri Kothagudem,Gundala,Jowar,8,6
2018-2019,Rabi,Bhadradri Kothagudem,Tekulapally,Jowar,9,11
2018-2019,Rabi,Bhadradri Kothagudem,Kothagudem,Jowar,1,0
2018-2019,Rabi,Bhadradri Kothagudem,Sujathanagar,Jowar,22,13
2018-2019,Rabi,Bhadradri Kothagudem,Chunchupalli,Jowar,1,0
