year,season,district_name,mandal_name,crop,actual_area,normal_area
2018-2019,Rabi,Jogulamba Gadwal,Kaloor Timmanadoddi,Paddy,0,610
2018-2019,Rabi,Jogulamba Gadwal,Dharur,Paddy,185,1513
2018-2019,Rabi,Jogulamba Gadwal,Gadwal,Paddy,0,1224
2018-2019,Rabi,Jogulamba Gadwal,Maldakal,Paddy,0,841
2018-2019,Rabi,Jogulamba Gadwal,Ghattu,Paddy,0,757
2018-2019,Rabi,Jogulamba Gadwal,Alampur,Paddy,0,88
2018-2019,Rabi,Jogulamba Gadwal,Aiza,Paddy,0,106
2018-2019,Rabi,Jogulamba Gadwal,Itikyal,Paddy,0,274
2018-2019,Rabi,Jogulamba Gadwal,Rajoli,Paddy,0,181
2018-2019,Rabi,Jogulamba Gadwal,Waddepalle,Paddy,0,15
2018-2019,Rabi,Jogulamba Gadwal,Manopad,Paddy,0,13
2018-2019,Rabi,Jogulamba Gadwal,Undavelli,Paddy,0,4
2018-2019,Rabi,Jogulamba Gadwal,Kaloor Timmanadoddi,Jowar,0,20
2018-2019,Rabi,Jogulamba Gadwal,Dharur,Jowar,0,10
2018-2019,Rabi,Jogulamba Gadwal,Gadwal,Jowar,8,12
2018-2019,Rabi,Jogulamba Gadwal,Maldakal,Jowar,47,210
2018-2019,Rabi,Jogulamba Gadwal,Ghattu,Jowar,44,76
2018-2019,Rabi,Jogulamba Gadwal,Alampur,Jowar,0,67
2018-2019,Rabi,Jogulamba Gadwal,Aiza,Jowar,194,208
2018-2019,Rabi,Jogulamba Gadwal,Itikyal,Jowar,208.8,82
2018-2019,Rabi,Jogulamba Gadwal,Rajoli,Jowar,424,939
2018-2019,Rabi,Jogulamba Gadwal,Waddepalle,Jowar,204,334
2018-2019,Rabi,Jogulamba Gadwal,Manopad,Jowar,68,100
2018-2019,Rabi,Jogulamba Gadwal,Undavelli,Jowar,0,104
2018-2019,Rabi,Jogulamba Gadwal,Kaloor Timmanadoddi,Maize,0,1
2018-2019,Rabi,Jogulamba Gadwal,Dharur,Maize,0,0
2018-2019,Rabi,Jogulamba Gadwal,Gadwal,Maize,41,15
2018-2019,Rabi,Jogulamba Gadwal,Maldakal,Maize,20,76
2018-2019,Rabi,Jogulamba Gadwal,Ghattu,Maize,17,5
2018-2019,Rabi,Jogulamba Gadwal,Alampur,Maize,49,292
2018-2019,Rabi,Jogulamba Gadwal,Aiza,Maize,117,213
2018-2019,Rabi,Jogulamba Gadwal,Itikyal,Maize,0,60
2018-2019,Rabi,Jogulamba Gadwal,Rajoli,Maize,162,551
2018-2019,Rabi,Jogulamba Gadwal,Waddepalle,Maize,189,480
2018-2019,Rabi,Jogulamba Gadwal,Manopad,Maize,0,11
2018-2019,Rabi,Jogulamba Gadwal,Undavelli,Maize,0,34
2018-2019,Rabi,Jogulamba Gadwal,Kaloor Timmanadoddi,Korra,0,0
2018-2019,Rabi,Jogulamba Gadwal,Dharur,Korra,0,0
2018-2019,Rabi,Jogulamba Gadwal,Gadwal,Korra,0,0
2018-2019,Rabi,Jogulamba Gadwal,Maldakal,Korra,0,0
2018-2019,Rabi,Jogulamba Gadwal,Ghattu,Korra,0,0
2018-2019,Rabi,Jogulamba Gadwal,Alampur,Korra,0,0
2018-2019,Rabi,Jogulamba Gadwal,Aiza,Korra,,0
2018-2019,Rabi,Jogulamba Gadwal,Itikyal,Korra,,0
2018-2019,Rabi,Jogulamba Gadwal,Rajoli,Korra,0,11
2018-2019,Rabi,Jogulamba Gadwal,Waddepalle,Korra,0,2
2018-2019,Rabi,Jogulamba Gadwal,Manopad,Korra,0,0
2018-2019,Rabi,Jogulamba Gadwal,Undavelli,Korra,0,0
2018-2019,Rabi,Jogulamba Gadwal,Kaloor Timmanadoddi,Bengal Gram,0,0
2018-2019,Rabi,Jogulamba Gadwal,Dharur,Bengal Gram,0,0
2018-2019,Rabi,Jogulamba Gadwal,Gadwal,Bengal Gram,782,672
2018-2019,Rabi,Jogulamba Gadwal,Maldakal,Bengal Gram,812,1710
2018-2019,Rabi,Jogulamba Gadwal,Ghattu,Bengal Gram,0,453
2018-2019,Rabi,Jogulamba Gadwal,Alampur,Bengal Gram,3113,3843
2018-2019,Rabi,Jogulamba Gadwal,Aiza,Bengal Gram,268,963
2018-2019,Rabi,Jogulamba Gadwal,Itikyal,Bengal Gram,1545.2,3088
2018-2019,Rabi,Jogulamba Gadwal,Rajoli,Bengal Gram,538,486
2018-2019,Rabi,Jogulamba Gadwal,Waddepalle,Bengal Gram,1020,1138
2018-2019,Rabi,Jogulamba Gadwal,Manopad,Bengal Gram,1221,2289
2018-2019,Rabi,Jogulamba Gadwal,Undavelli,Bengal Gram,1749,4372
2018-2019,Rabi,Jogulamba Gadwal,Kaloor Timmanadoddi,Green Gram,0,0
