year,season,district_name,mandal_name,crop,normal_area,actual_area
2018,Kharif,Jagtial,Jagtial U,Paddy,1008,1106
2018,Kharif,Jagtial,Jagtial R,Paddy,2830,6895
2018,Kharif,Jagtial,Sarangapur,Paddy,2030,3108
2018,Kharif,Jagtial,Beerpur,Paddy,2050,1080
2018,Kharif,Jagtial,Raikal,Paddy,2100,3526
2018,Kharif,Jagtial,Mallial,Paddy,2850,1650
2018,Kharif,Jagtial,Kodimial,Paddy,995,1613
2018,Kharif,Jagtial,Medipalli,Paddy,2920,2900
2018,Kharif,Jagtial,Dharmapuri,Paddy,1512,2330
2018,Kharif,Jagtial,Buggaram,Paddy,1444,1770
2018,Kharif,Jagtial,Gollapally,Paddy,2500,5200
2018,Kharif,Jagtial,Pegadapalli,Paddy,2810,4700
2018,Kharif,Jagtial,Velgatur,Paddy,3935,3700
2018,Kharif,Jagtial,Korutla,Paddy,2530,2260
2018,Kharif,Jagtial,Metpalli,Paddy,2579,1673
2018,Kharif,Jagtial,Ibrahimpatnam,Paddy,1595,1520
2018,Kharif,Jagtial,Mallapur,Paddy,2580,1661
2018,Kharif,Jagtial,Kathalapur,Paddy,2850,1202
2018,Kharif,Jagtial,Jagtial U,Maize,650,609
2018,Kharif,Jagtial,Jagtial R,Maize,1780,1695
2018,Kharif,Jagtial,Sarangapur,Maize,620,670
2018,Kharif,Jagtial,Beerpur,Maize,690,689
2018,Kharif,Jagtial,Raikal,Maize,1810,1605
2018,Kharif,Jagtial,Mallial,Maize,1120,959
2018,Kharif,Jagtial,Kodimial,Maize,460,359
2018,Kharif,Jagtial,Medipalli,Maize,1710,2021
2018,Kharif,Jagtial,Dharmapuri,Maize,630,1026
2018,Kharif,Jagtial,Buggaram,Maize,550,448
2018,Kharif,Jagtial,Gollapally,Maize,1120,1215
2018,Kharif,Jagtial,Pegadapalli,Maize,1260,953
2018,Kharif,Jagtial,Velgatur,Maize,795,770
2018,Kharif,Jagtial,Korutla,Maize,1360,2219
2018,Kharif,Jagtial,Metpalli,Maize,2447,4180
2018,Kharif,Jagtial,Ibrahimpatnam,Maize,2462,2750
2018,Kharif,Jagtial,Mallapur,Maize,1850,3397
2018,Kharif,Jagtial,Kathalapur,Maize,1915,2864
2018,Kharif,Jagtial,Jagtial U,"Green
gram",65,10
2018,Kharif,Jagtial,Jagtial R,"Green
gram",41,30.4
2018,Kharif,Jagtial,Sarangapur,"Green
gram",35,83
2018,Kharif,Jagtial,Beerpur,"Green
gram",52,13.2
2018,Kharif,Jagtial,Raikal,"Green
gram",152,385
2018,Kharif,Jagtial,Mallial,"Green
gram",140,72
2018,Kharif,Jagtial,Kodimial,"Green
gram",42,55
2018,Kharif,Jagtial,Medipalli,"Green
gram",74,35
2018,Kharif,Jagtial,Dharmapuri,"Green
gram",52,51
2018,Kharif,Jagtial,Buggaram,"Green
gram",68,64
2018,Kharif,Jagtial,Gollapally,"Green
gram",48,43
2018,Kharif,Jagtial,Pegadapalli,"Green
gram",166,151
2018,Kharif,Jagtial,Velgatur,"Green
gram",118,102
2018,Kharif,Jagtial,Korutla,"Green
gram",190,266
2018,Kharif,Jagtial,Metpalli,"Green
gram",74,107
2018,Kharif,Jagtial,Ibrahimpatnam,"Green
gram",148,51
2018,Kharif,Jagtial,Mallapur,"Green
gram",110,86
2018,Kharif,Jagtial,Kathalapur,"Green
gram",65,20
2018,Kharif,Jagtial,Jagtial U,"Red
gram",69,60
2018,Kharif,Jagtial,Jagtial R,"Red
gram",102,168
