year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-19,Rabi,Jangaon,Jangaon,Paddy,3497,46
2018-19,Rabi,Jangaon,Bachannpeta,Paddy,2883,126
2018-19,Rabi,Jangaon,Narmetta,Paddy,1347,82
2018-19,Rabi,Jangaon,Tharigopulla,Paddy,408,32
2018-19,Rabi,Jangaon,Station Ghanpur,Paddy,3637,2547.2
2018-19,Rabi,Jangaon,Chilpur,Paddy,1030,612.4
2018-19,Rabi,Jangaon,Raghunathpally,Paddy,2419,1386.8
2018-19,Rabi,Jangaon,Zaffergadh,Paddy,1851,0
2018-19,Rabi,Jangaon,Lingala Ghanpur,Paddy,2084,83.6
2018-19,Rabi,Jangaon,Palakurthi,Paddy,2184,120
2018-19,Rabi,Jangaon,Devaruppula,Paddy,1138,250
2018-19,Rabi,Jangaon,Kodakondla,Paddy,1213,14
2018-19,Rabi,Jangaon,Gundala,Paddy,694,16
2018-19,Rabi,Jangaon,Jangaon,Maize,33,30
2018-19,Rabi,Jangaon,Bachannpeta,Maize,55,0
2018-19,Rabi,Jangaon,Narmetta,Maize,116,74
2018-19,Rabi,Jangaon,Tharigopulla,Maize,190,84
2018-19,Rabi,Jangaon,Station Ghanpur,Maize,228,186
2018-19,Rabi,Jangaon,Chilpur,Maize,547,197.6
2018-19,Rabi,Jangaon,Raghunathpally,Maize,265,44.4
2018-19,Rabi,Jangaon,Zaffergadh,Maize,704,302.8
2018-19,Rabi,Jangaon,Lingala Ghanpur,Maize,566,17.28
2018-19,Rabi,Jangaon,Palakurthi,Maize,774,85
2018-19,Rabi,Jangaon,Devaruppula,Maize,3130,15
2018-19,Rabi,Jangaon,Kodakondla,Maize,222,11
2018-19,Rabi,Jangaon,Gundala,Maize,838,1
2018-19,Rabi,Jangaon,Jangaon,Jowar,21,
2018-19,Rabi,Jangaon,Bachannpeta,Jowar,15,
2018-19,Rabi,Jangaon,Narmetta,Jowar,4,
2018-19,Rabi,Jangaon,Tharigopulla,Jowar,0,
2018-19,Rabi,Jangaon,Station Ghanpur,Jowar,0,
2018-19,Rabi,Jangaon,Chilpur,Jowar,0,
2018-19,Rabi,Jangaon,Raghunathpally,Jowar,3,
2018-19,Rabi,Jangaon,Zaffergadh,Jowar,3,
2018-19,Rabi,Jangaon,Lingala Ghanpur,Jowar,0,
2018-19,Rabi,Jangaon,Palakurthi,Jowar,92,6
2018-19,Rabi,Jangaon,Devaruppula,Jowar,3,16
2018-19,Rabi,Jangaon,Kodakondla,Jowar,152,10
2018-19,Rabi,Jangaon,Gundala,Jowar,0,0
2018-19,Rabi,Jangaon,Jangaon,Black Gram,6,
2018-19,Rabi,Jangaon,Bachannpeta,Black Gram,10,
2018-19,Rabi,Jangaon,Narmetta,Black Gram,3,
2018-19,Rabi,Jangaon,Tharigopulla,Black Gram,0,
2018-19,Rabi,Jangaon,Station Ghanpur,Black Gram,11,0
2018-19,Rabi,Jangaon,Chilpur,Black Gram,4,0.88
2018-19,Rabi,Jangaon,Raghunathpally,Black Gram,0,0
2018-19,Rabi,Jangaon,Zaffergadh,Black Gram,7,0.4
2018-19,Rabi,Jangaon,Lingala Ghanpur,Black Gram,2,0
2018-19,Rabi,Jangaon,Palakurthi,Black Gram,7,4
2018-19,Rabi,Jangaon,Devaruppula,Black Gram,6,5
2018-19,Rabi,Jangaon,Kodakondla,Black Gram,11,0
2018-19,Rabi,Jangaon,Gundala,Black Gram,16,1
2018-19,Rabi,Jangaon,Jangaon,Red Gram,11,
2018-19,Rabi,Jangaon,Bachannpeta,Red Gram,0,
2018-19,Rabi,Jangaon,Narmetta,Red Gram,0,
2018-19,Rabi,Jangaon,Tharigopulla,Red Gram,0,
2018-19,Rabi,Jangaon,Station Ghanpur,Red Gram,27,4
2018-19,Rabi,Jangaon,Chilpur,Red Gram,2,0
2018-19,Rabi,Jangaon,Raghunathpally,Red Gram,2,0
2018-19,Rabi,Jangaon,Zaffergadh,Red Gram,0,0
2018-19,Rabi,Jangaon,Lingala Ghanpur,Red Gram,,0
2018-19,Rabi,Jangaon,Palakurthi,Red Gram,2,
2018-19,Rabi,Jangaon,Devaruppula,Red Gram,1,
2018-19,Rabi,Jangaon,Kodakondla,Red Gram,0,
