year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-2019,Rabi,Jayashankar Bhupalpally,Bhupalpally,Paddy,1302,145
2018-2019,Rabi,Jayashankar Bhupalpally,Bhupalpally,Maize,137,73
2018-2019,Rabi,Jayashankar Bhupalpally,Bhupalpally,Green Gram,12,33
2018-2019,Rabi,Jayashankar Bhupalpally,Bhupalpally,Black Gram,10,0
2018-2019,Rabi,Jayashankar Bhupalpally,Bhupalpally,Red Gram,1,0
2018-2019,Rabi,Jayashankar Bhupalpally,Bhupalpally,Bengal Gram,5,0
2018-2019,Rabi,Jayashankar Bhupalpally,Bhupalpally,Cow Gram,96,0
2018-2019,Rabi,Jayashankar Bhupalpally,Bhupalpally,Chillies,141,1155
2018-2019,Rabi,Jayashankar Bhupalpally,Bhupalpally,Groundnut,69,20
2018-2019,Rabi,Jayashankar Bhupalpally,Bhupalpally,Sesamum,1,0
2018-2019,Rabi,Jayashankar Bhupalpally,Bhupalpally,Jowar,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Bhupalpally,Bajra,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Bhupalpally,Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Bhupalpally,Horse Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Bhupalpally,GROSS AREA SOWN,1774,1426
2018-2019,Rabi,Jayashankar Bhupalpally,Chityal,Paddy,784,100
2018-2019,Rabi,Jayashankar Bhupalpally,Chityal,Maize,389,180
2018-2019,Rabi,Jayashankar Bhupalpally,Chityal,Green Gram,14,0
2018-2019,Rabi,Jayashankar Bhupalpally,Chityal,Black Gram,3,0
2018-2019,Rabi,Jayashankar Bhupalpally,Chityal,Red Gram,2,0
2018-2019,Rabi,Jayashankar Bhupalpally,Chityal,Bengal Gram,31,65
2018-2019,Rabi,Jayashankar Bhupalpally,Chityal,Cow Gram,4,0
2018-2019,Rabi,Jayashankar Bhupalpally,Chityal,Chillies,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Chityal,Groundnut,5,2
2018-2019,Rabi,Jayashankar Bhupalpally,Chityal,Sesamum,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Chityal,Jowar,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Chityal,Bajra,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Chityal,Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Chityal,Horse Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Chityal,GROSS AREA SOWN,1232,347
2018-2019,Rabi,Jayashankar Bhupalpally,Eturnagaram,Paddy,552,100
2018-2019,Rabi,Jayashankar Bhupalpally,Eturnagaram,Maize,15,8
2018-2019,Rabi,Jayashankar Bhupalpally,Eturnagaram,Green Gram,60,5
2018-2019,Rabi,Jayashankar Bhupalpally,Eturnagaram,Black Gram,78,36
2018-2019,Rabi,Jayashankar Bhupalpally,Eturnagaram,Red Gram,6,0
2018-2019,Rabi,Jayashankar Bhupalpally,Eturnagaram,Bengal Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Eturnagaram,Cow Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Eturnagaram,Chillies,404,300
2018-2019,Rabi,Jayashankar Bhupalpally,Eturnagaram,Groundnut,292,45
2018-2019,Rabi,Jayashankar Bhupalpally,Eturnagaram,Sesamum,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Eturnagaram,Jowar,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Eturnagaram,Bajra,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Eturnagaram,Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Eturnagaram,Horse Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Eturnagaram,GROSS AREA SOWN,1407,494
2018-2019,Rabi,Jayashankar Bhupalpally,Ghanpur (Mulg),Paddy,1304,160
2018-2019,Rabi,Jayashankar Bhupalpally,Ghanpur (Mulg),Maize,49,28
2018-2019,Rabi,Jayashankar Bhupalpally,Ghanpur (Mulg),Green Gram,5,22
2018-2019,Rabi,Jayashankar Bhupalpally,Ghanpur (Mulg),Black Gram,5,0
2018-2019,Rabi,Jayashankar Bhupalpally,Ghanpur (Mulg),Red Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Ghanpur (Mulg),Bengal Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Ghanpur (Mulg),Cow Gram,11,0
2018-2019,Rabi,Jayashankar Bhupalpally,Ghanpur (Mulg),Chillies,0,811
2018-2019,Rabi,Jayashankar Bhupalpally,Ghanpur (Mulg),Groundnut,39,35
2018-2019,Rabi,Jayashankar Bhupalpally,Ghanpur (Mulg),Sesamum,1,0
2018-2019,Rabi,Jayashankar Bhupalpally,Ghanpur (Mulg),Jowar,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Ghanpur (Mulg),Bajra,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Ghanpur (Mulg),Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Ghanpur (Mulg),Horse Gram,0,0
