year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Rabi,Kamareddy,Madnur,Paddy,1374,546
2018-2019,Rabi,Kamareddy,Jukkal,Paddy,413,10
2018-2019,Rabi,Kamareddy,Pedda kodapgal,Paddy,138,15
2018-2019,Rabi,Kamareddy,Bichkunda,Paddy,1432,482
2018-2019,Rabi,Kamareddy,Birkoor,Paddy,3352,1260
2018-2019,Rabi,Kamareddy,Nasurullabad,Paddy,2936,1054
2018-2019,Rabi,Kamareddy,Banswada,Paddy,3238,121
2018-2019,Rabi,Kamareddy,Pitlam,Paddy,1896,300
2018-2019,Rabi,Kamareddy,Nizamsagar,Paddy,2016,35
2018-2019,Rabi,Kamareddy,Naga_reddipet,Paddy,1409,725
2018-2019,Rabi,Kamareddy,Yellareddy,Paddy,1421,524
2018-2019,Rabi,Kamareddy,Lingampet,Paddy,1089,624
2018-2019,Rabi,Kamareddy,Gandhari,Paddy,435,212
2018-2019,Rabi,Kamareddy,Sadasivanagar,Paddy,550,87
2018-2019,Rabi,Kamareddy,Tadwai,Paddy,74,6
2018-2019,Rabi,Kamareddy,Rajampet,Paddy,186,4
2018-2019,Rabi,Kamareddy,Bhiknur,Paddy,1007,49
2018-2019,Rabi,Kamareddy,Kamareddy,Paddy,696,208
2018-2019,Rabi,Kamareddy,Ramareddy,Paddy,508,98
2018-2019,Rabi,Kamareddy,Machareddy,Paddy,1120,315
2018-2019,Rabi,Kamareddy,Domakonda,Paddy,802,178
2018-2019,Rabi,Kamareddy,Bibipet,Paddy,504,120
2018-2019,Rabi,Kamareddy,Madnur,Wheat,116,64
2018-2019,Rabi,Kamareddy,Jukkal,Wheat,124,85
2018-2019,Rabi,Kamareddy,Pedda kodapgal,Wheat,45,10
2018-2019,Rabi,Kamareddy,Bichkunda,Wheat,18,75
2018-2019,Rabi,Kamareddy,Birkoor,Wheat,13,0
2018-2019,Rabi,Kamareddy,Nasurullabad,Wheat,0,
2018-2019,Rabi,Kamareddy,Banswada,Wheat,7,5
2018-2019,Rabi,Kamareddy,Pitlam,Wheat,4,0
2018-2019,Rabi,Kamareddy,Nizamsagar,Wheat,1,0
2018-2019,Rabi,Kamareddy,Naga_reddipet,Wheat,4,6
2018-2019,Rabi,Kamareddy,Yellareddy,Wheat,4,0
2018-2019,Rabi,Kamareddy,Lingampet,Wheat,2,45
2018-2019,Rabi,Kamareddy,Gandhari,Wheat,37,327
2018-2019,Rabi,Kamareddy,Sadasivanagar,Wheat,46,51
2018-2019,Rabi,Kamareddy,Tadwai,Wheat,60,104
2018-2019,Rabi,Kamareddy,Rajampet,Wheat,17,0
2018-2019,Rabi,Kamareddy,Bhiknur,Wheat,36,6
2018-2019,Rabi,Kamareddy,Kamareddy,Wheat,41,0
2018-2019,Rabi,Kamareddy,Ramareddy,Wheat,70,43
2018-2019,Rabi,Kamareddy,Machareddy,Wheat,24,
2018-2019,Rabi,Kamareddy,Domakonda,Wheat,13,8
2018-2019,Rabi,Kamareddy,Bibipet,Wheat,13,2
2018-2019,Rabi,Kamareddy,Madnur,Jowar,1152,25
2018-2019,Rabi,Kamareddy,Jukkal,Jowar,775,418
2018-2019,Rabi,Kamareddy,Pedda kodapgal,Jowar,207,178
2018-2019,Rabi,Kamareddy,Bichkunda,Jowar,235,350
2018-2019,Rabi,Kamareddy,Birkoor,Jowar,97,13
2018-2019,Rabi,Kamareddy,Nasurullabad,Jowar,0,0
2018-2019,Rabi,Kamareddy,Banswada,Jowar,315,80
2018-2019,Rabi,Kamareddy,Pitlam,Jowar,840,710
2018-2019,Rabi,Kamareddy,Nizamsagar,Jowar,203,85
2018-2019,Rabi,Kamareddy,Naga_reddipet,Jowar,34,8
2018-2019,Rabi,Kamareddy,Yellareddy,Jowar,93,20
2018-2019,Rabi,Kamareddy,Lingampet,Jowar,86,89
2018-2019,Rabi,Kamareddy,Gandhari,Jowar,151,446
2018-2019,Rabi,Kamareddy,Sadasivanagar,Jowar,0,13
2018-2019,Rabi,Kamareddy,Tadwai,Jowar,13,0
2018-2019,Rabi,Kamareddy,Rajampet,Jowar,1,0
2018-2019,Rabi,Kamareddy,Bhiknur,Jowar,0,
2018-2019,Rabi,Kamareddy,Kamareddy,Jowar,6,0
2018-2019,Rabi,Kamareddy,Ramareddy,Jowar,0,
2018-2019,Rabi,Kamareddy,Machareddy,Jowar,3,
2018-2019,Rabi,Kamareddy,Domakonda,Jowar,0,2
2018-2019,Rabi,Kamareddy,Bibipet,Jowar,0,0
2018-2019,Rabi,Kamareddy,Madnur,Maize,103,300
2018-2019,Rabi,Kamareddy,Jukkal,Maize,127,105
2018-2019,Rabi,Kamareddy,Pedda kodapgal,Maize,501,813
2018-2019,Rabi,Kamareddy,Bichkunda,Maize,369,500
2018-2019,Rabi,Kamareddy,Birkoor,Maize,117,12
2018-2019,Rabi,Kamareddy,Nasurullabad,Maize,373,24
2018-2019,Rabi,Kamareddy,Banswada,Maize,1231,260
2018-2019,Rabi,Kamareddy,Pitlam,Maize,1280,450
2018-2019,Rabi,Kamareddy,Nizamsagar,Maize,255,120
2018-2019,Rabi,Kamareddy,Naga_reddipet,Maize,323,94
2018-2019,Rabi,Kamareddy,Yellareddy,Maize,791,183
2018-2019,Rabi,Kamareddy,Lingampet,Maize,1473,170
2018-2019,Rabi,Kamareddy,Gandhari,Maize,3143,1827
2018-2019,Rabi,Kamareddy,Sadasivanagar,Maize,881,204
2018-2019,Rabi,Kamareddy,Tadwai,Maize,498,43
2018-2019,Rabi,Kamareddy,Rajampet,Maize,980,52
2018-2019,Rabi,Kamareddy,Bhiknur,Maize,1651,256
2018-2019,Rabi,Kamareddy,Kamareddy,Maize,435,84
2018-2019,Rabi,Kamareddy,Ramareddy,Maize,151,377
2018-2019,Rabi,Kamareddy,Machareddy,Maize,645,29
2018-2019,Rabi,Kamareddy,Domakonda,Maize,632.178981937603,45
2018-2019,Rabi,Kamareddy,Bibipet,Maize,248.821018062397,62
2018-2019,Rabi,Kamareddy,Madnur,Green Gram,0,0
2018-2019,Rabi,Kamareddy,Jukkal,Green Gram,0,0
2018-2019,Rabi,Kamareddy,Pedda kodapgal,Green Gram,0,0
