year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Khammam,Raghunadhapalem,Paddy,730,1338
2018-2019,Kharif,Khammam,Khammam (U),Paddy,460,535
2018-2019,Kharif,Khammam,Kamepalli,Paddy,1353,1563
2018-2019,Kharif,Khammam,Kusumanchi,Paddy,3989,4305
2018-2019,Kharif,Khammam,Nelakondapalli,Paddy,4448,7615
2018-2019,Kharif,Khammam,Tirumalaipalem,Paddy,1663,3464
2018-2019,Kharif,Khammam,Khammam (R),Paddy,1271,1830
2018-2019,Kharif,Khammam,Madhira,Paddy,1389,1740
2018-2019,Kharif,Khammam,Bonakal,Paddy,1086,1611
2018-2019,Kharif,Khammam,Chinthakani,Paddy,1620,1856
2018-2019,Kharif,Khammam,Mudigonda,Paddy,2626,3191
2018-2019,Kharif,Khammam,Yerrupalem,Paddy,3418,3557
2018-2019,Kharif,Khammam,Konijerla,Paddy,1227,1575
2018-2019,Kharif,Khammam,Wyra,Paddy,3030,5742
2018-2019,Kharif,Khammam,Singareni,Paddy,1154,1336
2018-2019,Kharif,Khammam,Enkoor,Paddy,1443,1648
2018-2019,Kharif,Khammam,Sathupalli,Paddy,6443,6414
2018-2019,Kharif,Khammam,Vemsoor,Paddy,4874,5279
2018-2019,Kharif,Khammam,Penuballi,Paddy,6880,7799
2018-2019,Kharif,Khammam,Kalluru,Paddy,7303,11623
2018-2019,Kharif,Khammam,Thallada,Paddy,4140,8416
2018-2019,Kharif,Khammam,Raghunadhapalem,Jowar,0,0
2018-2019,Kharif,Khammam,Khammam (U),Jowar,0,0
2018-2019,Kharif,Khammam,Kamepalli,Jowar,0,0
2018-2019,Kharif,Khammam,Kusumanchi,Jowar,0,0
2018-2019,Kharif,Khammam,Nelakondapalli,Jowar,0,0
2018-2019,Kharif,Khammam,Tirumalaipalem,Jowar,2,2
2018-2019,Kharif,Khammam,Khammam (R),Jowar,0,0
2018-2019,Kharif,Khammam,Madhira,Jowar,0,0
2018-2019,Kharif,Khammam,Bonakal,Jowar,0,0
2018-2019,Kharif,Khammam,Chinthakani,Jowar,0,0
2018-2019,Kharif,Khammam,Mudigonda,Jowar,0,0
2018-2019,Kharif,Khammam,Yerrupalem,Jowar,0,0
2018-2019,Kharif,Khammam,Konijerla,Jowar,0,0
2018-2019,Kharif,Khammam,Wyra,Jowar,0,0
2018-2019,Kharif,Khammam,Singareni,Jowar,0,0
2018-2019,Kharif,Khammam,Enkoor,Jowar,0,0
2018-2019,Kharif,Khammam,Sathupalli,Jowar,0,0
2018-2019,Kharif,Khammam,Vemsoor,Jowar,0,0
2018-2019,Kharif,Khammam,Penuballi,Jowar,0,0
2018-2019,Kharif,Khammam,Kalluru,Jowar,0,0
2018-2019,Kharif,Khammam,Thallada,Jowar,0,0
2018-2019,Kharif,Khammam,Raghunadhapalem,Bajra,0,0
2018-2019,Kharif,Khammam,Khammam (U),Bajra,0,0
2018-2019,Kharif,Khammam,Kamepalli,Bajra,0,0
2018-2019,Kharif,Khammam,Kusumanchi,Bajra,0,0
2018-2019,Kharif,Khammam,Nelakondapalli,Bajra,0,0
2018-2019,Kharif,Khammam,Tirumalaipalem,Bajra,1,0
2018-2019,Kharif,Khammam,Khammam (R),Bajra,0,0
2018-2019,Kharif,Khammam,Madhira,Bajra,0,0
2018-2019,Kharif,Khammam,Bonakal,Bajra,0,0
2018-2019,Kharif,Khammam,Chinthakani,Bajra,0,0
2018-2019,Kharif,Khammam,Mudigonda,Bajra,0,0
2018-2019,Kharif,Khammam,Yerrupalem,Bajra,0,0
2018-2019,Kharif,Khammam,Konijerla,Bajra,0,0
2018-2019,Kharif,Khammam,Wyra,Bajra,0,0
2018-2019,Kharif,Khammam,Singareni,Bajra,0,0
2018-2019,Kharif,Khammam,Enkoor,Bajra,0,0
2018-2019,Kharif,Khammam,Sathupalli,Bajra,0,0
2018-2019,Kharif,Khammam,Vemsoor,Bajra,0,0
2018-2019,Kharif,Khammam,Penuballi,Bajra,0,0
2018-2019,Kharif,Khammam,Kalluru,Bajra,0,0
2018-2019,Kharif,Khammam,Thallada,Bajra,0,0
2018-2019,Kharif,Khammam,Raghunadhapalem,Maize,119,62
