year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-2019,Rabi,Kumuram Bheem,Jainoor,Paddy,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Paddy,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Paddy,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Paddy,22,52
2018-2019,Rabi,Kumuram Bheem,Rebbena,Paddy,257,717.6
2018-2019,Rabi,Kumuram Bheem,Asifabad,Paddy,100,64
2018-2019,Rabi,Kumuram Bheem,Kerameri,Paddy,0,0
2018-2019,Rabi,Kumuram Bheem,Wankidi,Paddy,0,0
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Paddy,91,275.5
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Paddy,152,230.4
2018-2019,Rabi,Kumuram Bheem,Kouthala,Paddy,890,660
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Paddy,3,5
2018-2019,Rabi,Kumuram Bheem,Bejjur,Paddy,165,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Paddy,87,12.5
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Paddy,474,522
2018-2019,Rabi,Kumuram Bheem,Jainoor,Wheat,93,22.67
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Wheat,99,24
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Wheat,17,62
2018-2019,Rabi,Kumuram Bheem,Tiryani,Wheat,14,0
2018-2019,Rabi,Kumuram Bheem,Rebbena,Wheat,1,0
2018-2019,Rabi,Kumuram Bheem,Asifabad,Wheat,0,0
2018-2019,Rabi,Kumuram Bheem,Kerameri,Wheat,48,0.6
2018-2019,Rabi,Kumuram Bheem,Wankidi,Wheat,37,6
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Wheat,4,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Wheat,8,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Wheat,9,0
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Wheat,5,0
2018-2019,Rabi,Kumuram Bheem,Bejjur,Wheat,0,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Wheat,0,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Wheat,0,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Maize,36,19.97
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Maize,31,20
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Maize,4,16
2018-2019,Rabi,Kumuram Bheem,Tiryani,Maize,19,15
2018-2019,Rabi,Kumuram Bheem,Rebbena,Maize,25,22.4
2018-2019,Rabi,Kumuram Bheem,Asifabad,Maize,1,0
2018-2019,Rabi,Kumuram Bheem,Kerameri,Maize,48,20
2018-2019,Rabi,Kumuram Bheem,Wankidi,Maize,12,0
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Maize,34,38.4
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Maize,9,43.7
2018-2019,Rabi,Kumuram Bheem,Kouthala,Maize,16,5
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Maize,29,5
2018-2019,Rabi,Kumuram Bheem,Bejjur,Maize,45,12
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Maize,60,32
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Maize,232,65
2018-2019,Rabi,Kumuram Bheem,Jainoor,Jowar,121,42.14
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Jowar,134,125
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Jowar,17,51
2018-2019,Rabi,Kumuram Bheem,Tiryani,Jowar,618,550
2018-2019,Rabi,Kumuram Bheem,Rebbena,Jowar,179,80.4
2018-2019,Rabi,Kumuram Bheem,Asifabad,Jowar,439,322
2018-2019,Rabi,Kumuram Bheem,Kerameri,Jowar,351,52
2018-2019,Rabi,Kumuram Bheem,Wankidi,Jowar,1300,640
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Jowar,101,19.6
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Jowar,103,27.8
2018-2019,Rabi,Kumuram Bheem,Kouthala,Jowar,5,2
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Jowar,88,3
2018-2019,Rabi,Kumuram Bheem,Bejjur,Jowar,164,34
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Jowar,210,45
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Jowar,344,44
2018-2019,Rabi,Kumuram Bheem,Jainoor,Horse Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Horse Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Horse Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Horse Gram,3,0
2018-2019,Rabi,Kumuram Bheem,Rebbena,Horse Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Asifabad,Horse Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Kerameri,Horse Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Wankidi,Horse Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Horse Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Horse Gram,6,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Horse Gram,3,0
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Horse Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Bejjur,Horse Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Horse Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Horse Gram,13,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Green Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Green Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Green Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Green Gram,5,0
2018-2019,Rabi,Kumuram Bheem,Rebbena,Green Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Asifabad,Green Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Kerameri,Green Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Wankidi,Green Gram,135,10
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Green Gram,19,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Green Gram,87,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Green Gram,118,5
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Green Gram,201,1
2018-2019,Rabi,Kumuram Bheem,Bejjur,Green Gram,132,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Green Gram,49,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Green Gram,158,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Rebbena,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Asifabad,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Kerameri,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Wankidi,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Black Gram,11,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Black Gram,11,0
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Black Gram,2,0
2018-2019,Rabi,Kumuram Bheem,Bejjur,Black Gram,8,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Black Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Black Gram,1,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Red Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Red Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Red Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Red Gram,9,0
2018-2019,Rabi,Kumuram Bheem,Rebbena,Red Gram,16,0
2018-2019,Rabi,Kumuram Bheem,Asifabad,Red Gram,12,6
2018-2019,Rabi,Kumuram Bheem,Kerameri,Red Gram,0,0
2018-2019,Rabi,Kumuram Bheem,Wankidi,Red Gram,93,0
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Red Gram,58,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Red Gram,32,0
