year,season,districtName,mandalName,crop,normalArea,actualArea
2018-2019,Kharif,Mahabubabad,Kothaguda,Paddy,3030,2128
2018-2019,Kharif,Mahabubabad,Gangaram,Paddy,386,974
2018-2019,Kharif,Mahabubabad,Bayyaram,Paddy,2739,3316
2018-2019,Kharif,Mahabubabad,Garla,Paddy,2032,2783
2018-2019,Kharif,Mahabubabad,Mahabubabad,Paddy,3004,3771
2018-2019,Kharif,Mahabubabad,Gudur,Paddy,3089,3460
2018-2019,Kharif,Mahabubabad,Kesamudram,Paddy,1738,2568
2018-2019,Kharif,Mahabubabad,Nellikudur,Paddy,3136,4233
2018-2019,Kharif,Mahabubabad,Maripeda,Paddy,2109,2491
2018-2019,Kharif,Mahabubabad,Chinnagudur,Paddy,217,665
2018-2019,Kharif,Mahabubabad,Dornakal,Paddy,1755,2017
2018-2019,Kharif,Mahabubabad,Kuravi,Paddy,2745,3023
2018-2019,Kharif,Mahabubabad,Narsimhulapet,Paddy,1447,1148
2018-2019,Kharif,Mahabubabad,Danthalapalle,Paddy,504,1430
2018-2019,Kharif,Mahabubabad,Thorrur,Paddy,3315,3891
2018-2019,Kharif,Mahabubabad,Peddavangara,Paddy,632,1563
2018-2019,Kharif,Mahabubabad,Kothaguda,Maize,2405.4,1300
2018-2019,Kharif,Mahabubabad,Gangaram,Maize,900.2,2068
2018-2019,Kharif,Mahabubabad,Bayyaram,Maize,3065.8,3081
2018-2019,Kharif,Mahabubabad,Garla,Maize,320,304
2018-2019,Kharif,Mahabubabad,Mahabubabad,Maize,1203.8,1089
2018-2019,Kharif,Mahabubabad,Gudur,Maize,1764,1524
2018-2019,Kharif,Mahabubabad,Kesamudram,Maize,1995.8,1927
2018-2019,Kharif,Mahabubabad,Nellikudur,Maize,1074.2,567
2018-2019,Kharif,Mahabubabad,Maripeda,Maize,104.8,65
2018-2019,Kharif,Mahabubabad,Chinnagudur,Maize,155.6,56
2018-2019,Kharif,Mahabubabad,Dornakal,Maize,207.2,23
2018-2019,Kharif,Mahabubabad,Kuravi,Maize,464.4,130
2018-2019,Kharif,Mahabubabad,Narsimhulapet,Maize,302.2,175
