year,season,districtName,mandalName,crop,normalArea,actualArea
2018-2019,Rabi,Mahabubabad,Mahabubabad,Paddy,1005.4,250
2018-2019,Rabi,Mahabubabad,Kesamudram,Paddy,1133.8,400
2018-2019,Rabi,Mahabubabad,Nellikudur,Paddy,1861.2,100
2018-2019,Rabi,Mahabubabad,Kothaguda,Paddy,610.91652,30
2018-2019,Rabi,Mahabubabad,Gangaram,Paddy,66.6464,20
2018-2019,Rabi,Mahabubabad,Bayyaram,Paddy,229.6,75
2018-2019,Rabi,Mahabubabad,Garla,Paddy,257,86
2018-2019,Rabi,Mahabubabad,Gudur,Paddy,758,40
2018-2019,Rabi,Mahabubabad,Maripeda,Paddy,1260.278,150
2018-2019,Rabi,Mahabubabad,Chinnagudur,Paddy,309.298,65
2018-2019,Rabi,Mahabubabad,Dornakal,Paddy,770.8,500
2018-2019,Rabi,Mahabubabad,Kuravi,Paddy,679.8,50
2018-2019,Rabi,Mahabubabad,Narsimhulapet,Paddy,629.56,74
2018-2019,Rabi,Mahabubabad,Danthalapalle,Paddy,890.44,50
2018-2019,Rabi,Mahabubabad,Thorrur,Paddy,1265.518039,250
2018-2019,Rabi,Mahabubabad,Peddavangara,Paddy,1208.6,85
2018-2019,Rabi,Mahabubabad,Mahabubabad,Jowar,62.8,0
2018-2019,Rabi,Mahabubabad,Kesamudram,Jowar,23.6,5
2018-2019,Rabi,Mahabubabad,Nellikudur,Jowar,51.6,22
2018-2019,Rabi,Mahabubabad,Kothaguda,Jowar,0,0
2018-2019,Rabi,Mahabubabad,Gangaram,Jowar,0,0
2018-2019,Rabi,Mahabubabad,Bayyaram,Jowar,15.6,0
2018-2019,Rabi,Mahabubabad,Garla,Jowar,66.8,40
2018-2019,Rabi,Mahabubabad,Gudur,Jowar,58.8,35
2018-2019,Rabi,Mahabubabad,Maripeda,Jowar,319.124,45
2018-2019,Rabi,Mahabubabad,Chinnagudur,Jowar,75.276,0
2018-2019,Rabi,Mahabubabad,Dornakal,Jowar,159.8,21
2018-2019,Rabi,Mahabubabad,Kuravi,Jowar,264.8,55
2018-2019,Rabi,Mahabubabad,Narsimhulapet,Jowar,89.354,35
2018-2019,Rabi,Mahabubabad,Danthalapalle,Jowar,107.846,25
2018-2019,Rabi,Mahabubabad,Thorrur,Jowar,98,30
2018-2019,Rabi,Mahabubabad,Peddavangara,Jowar,122.6,15
2018-2019,Rabi,Mahabubabad,Mahabubabad,Maize,838.8,902
2018-2019,Rabi,Mahabubabad,Kesamudram,Maize,1085,1025
2018-2019,Rabi,Mahabubabad,Nellikudur,Maize,619.8,505
2018-2019,Rabi,Mahabubabad,Kothaguda,Maize,129.264,320
2018-2019,Rabi,Mahabubabad,Gangaram,Maize,187.336,210
2018-2019,Rabi,Mahabubabad,Bayyaram,Maize,374.2,350
2018-2019,Rabi,Mahabubabad,Garla,Maize,94.4,125
