year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Mahabubnagar,Damargidda,Paddy,958,1090
2018-2019,Kharif,Mahabubnagar,Narayanpet,Paddy,1198,470
2018-2019,Kharif,Mahabubnagar,Utkoor,Paddy,1242,812
2018-2019,Kharif,Mahabubnagar,Maganoor,Paddy,1823,1835
2018-2019,Kharif,Mahabubnagar,Krishna,Paddy,1999,4115
2018-2019,Kharif,Mahabubnagar,Makthal,Paddy,3064,4272
2018-2019,Kharif,Mahabubnagar,Narva,Paddy,1196,1221
2018-2019,Kharif,Mahabubnagar,Chinna Chita Kunta,Paddy,1995,1651
2018-2019,Kharif,Mahabubnagar,Marikal,Paddy,765,1480
2018-2019,Kharif,Mahabubnagar,Dhanwada,Paddy,732,881
2018-2019,Kharif,Mahabubnagar,Koilkonda,Paddy,1298,1291
2018-2019,Kharif,Mahabubnagar,Maddur,Paddy,1084,858
2018-2019,Kharif,Mahabubnagar,Kosgi,Paddy,1817,1818
2018-2019,Kharif,Mahabubnagar,Gandeed,Paddy,1680,1056
2018-2019,Kharif,Mahabubnagar,Hanwada,Paddy,1669,936
2018-2019,Kharif,Mahabubnagar,Mahabubnagar (r),Paddy,1131,974
2018-2019,Kharif,Mahabubnagar,Devarkadra,Paddy,1384,1365
2018-2019,Kharif,Mahabubnagar,Addakal,Paddy,1075,970
2018-2019,Kharif,Mahabubnagar,Moosapet,Paddy,1125,566
2018-2019,Kharif,Mahabubnagar,Bhoothpur,Paddy,1410,425
2018-2019,Kharif,Mahabubnagar,Mahabubnagar (u),Paddy,520,415
2018-2019,Kharif,Mahabubnagar,Nawabpet,Paddy,1635,609
2018-2019,Kharif,Mahabubnagar,Balanagar,Paddy,425,290
2018-2019,Kharif,Mahabubnagar,Rajapur,Paddy,278,148
2018-2019,Kharif,Mahabubnagar,Jadcherla,Paddy,954,451
2018-2019,Kharif,Mahabubnagar,Midjil,Paddy,632,262
2018-2019,Kharif,Mahabubnagar,Damargidda,Jowar,911,1020
2018-2019,Kharif,Mahabubnagar,Narayanpet,Jowar,531,470
