year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Rabi,Mancherial,Jannaram,Paddy,1203,504
2018-2019,Rabi,Mancherial,Dandepalli,Paddy,3071,1150
2018-2019,Rabi,Mancherial,Luxettipet,Paddy,1847,720
2018-2019,Rabi,Mancherial,Hajipur,Paddy,632,310
2018-2019,Rabi,Mancherial,Kasipet,Paddy,108,25
2018-2019,Rabi,Mancherial,Tandur,Paddy,148,20
2018-2019,Rabi,Mancherial,Bhimini,Paddy,81,31
2018-2019,Rabi,Mancherial,Kannepalli,Paddy,350,85
2018-2019,Rabi,Mancherial,Vemanpalli,Paddy,405,95
2018-2019,Rabi,Mancherial,Nennal,Paddy,205,90
2018-2019,Rabi,Mancherial,Bellampalli,Paddy,253,280
2018-2019,Rabi,Mancherial,Mandamarri,Paddy,273,201
2018-2019,Rabi,Mancherial,Mancherial,Paddy,75,20
2018-2019,Rabi,Mancherial,Naspur,Paddy,137,35
2018-2019,Rabi,Mancherial,Jaipur,Paddy,1010,560
2018-2019,Rabi,Mancherial,Bheemaram,Paddy,507,220
2018-2019,Rabi,Mancherial,Chennur,Paddy,1021,580
2018-2019,Rabi,Mancherial,Kotapalli,Paddy,512,258
2018-2019,Rabi,Mancherial,Jannaram,Jowar,26,20
2018-2019,Rabi,Mancherial,Dandepalli,Jowar,0,0
2018-2019,Rabi,Mancherial,Luxettipet,Jowar,0,0
2018-2019,Rabi,Mancherial,Hajipur,Jowar,3,0
2018-2019,Rabi,Mancherial,Kasipet,Jowar,91,56
2018-2019,Rabi,Mancherial,Tandur,Jowar,107,28
2018-2019,Rabi,Mancherial,Bhimini,Jowar,109,35
2018-2019,Rabi,Mancherial,Kannepalli,Jowar,67,12
2018-2019,Rabi,Mancherial,Vemanpalli,Jowar,105,9
2018-2019,Rabi,Mancherial,Nennal,Jowar,36,0
2018-2019,Rabi,Mancherial,Bellampalli,Jowar,18,0
2018-2019,Rabi,Mancherial,Mandamarri,Jowar,2,0
2018-2019,Rabi,Mancherial,Mancherial,Jowar,0,0
2018-2019,Rabi,Mancherial,Naspur,Jowar,0,0
2018-2019,Rabi,Mancherial,Jaipur,Jowar,7,0
2018-2019,Rabi,Mancherial,Bheemaram,Jowar,10,0
2018-2019,Rabi,Mancherial,Chennur,Jowar,33,12
2018-2019,Rabi,Mancherial,Kotapalli,Jowar,85,14
2018-2019,Rabi,Mancherial,Jannaram,Maize,255,59
2018-2019,Rabi,Mancherial,Dandepalli,Maize,145,71
2018-2019,Rabi,Mancherial,Luxettipet,Maize,413,136
2018-2019,Rabi,Mancherial,Hajipur,Maize,56,34
2018-2019,Rabi,Mancherial,Kasipet,Maize,9,0
