year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Medak,Shankarampet (A),Paddy,1172,752
2018-2019,Kharif,Medak,Regode,Paddy,375,100
2018-2019,Kharif,Medak,Alladurg,Paddy,786,536
2018-2019,Kharif,Medak,Tekmal,Paddy,1779,1274
2018-2019,Kharif,Medak,Papannapet,Paddy,4636,5115
2018-2019,Kharif,Medak,Havelighanpur,Paddy,625,2945
2018-2019,Kharif,Medak,Ramayampet,Paddy,2252,1084
2018-2019,Kharif,Medak,Nizampet,Paddy,189,489
2018-2019,Kharif,Medak,Chegunta,Paddy,2201,1205
2018-2019,Kharif,Medak,Narsingi,Paddy,138,2621
2018-2019,Kharif,Medak,Shankarampet (R),Paddy,2405,3537
2018-2019,Kharif,Medak,Medak,Paddy,4485,1737
2018-2019,Kharif,Medak,Kulcharam,Paddy,3778,1425
2018-2019,Kharif,Medak,Chilipched,Paddy,300,1706
2018-2019,Kharif,Medak,Kowdipalle,Paddy,3916,1588
2018-2019,Kharif,Medak,Narsapur,Paddy,2367,1462
2018-2019,Kharif,Medak,Shivampet,Paddy,3027,858
2018-2019,Kharif,Medak,Yeldurthy,Paddy,2009,1562
2018-2019,Kharif,Medak,Tupran,Paddy,1518,874
2018-2019,Kharif,Medak,Manoharabad,Paddy,110,400
2018-2019,Kharif,Medak,Shankarampet (A),Jowar,227,36
2018-2019,Kharif,Medak,Regode,Jowar,35,0
2018-2019,Kharif,Medak,Alladurg,Jowar,74,13
2018-2019,Kharif,Medak,Tekmal,Jowar,237,97
2018-2019,Kharif,Medak,Papannapet,Jowar,56,35
2018-2019,Kharif,Medak,Havelighanpur,Jowar,0,0
2018-2019,Kharif,Medak,Ramayampet,Jowar,0,0
2018-2019,Kharif,Medak,Nizampet,Jowar,0,17
2018-2019,Kharif,Medak,Chegunta,Jowar,0,0
2018-2019,Kharif,Medak,Narsingi,Jowar,0,3
2018-2019,Kharif,Medak,Shankarampet (R),Jowar,0,13
2018-2019,Kharif,Medak,Medak,Jowar,6,10
2018-2019,Kharif,Medak,Kulcharam,Jowar,38,15
2018-2019,Kharif,Medak,Chilipched,Jowar,29,22
2018-2019,Kharif,Medak,Kowdipalle,Jowar,100,0
2018-2019,Kharif,Medak,Narsapur,Jowar,95,0
2018-2019,Kharif,Medak,Shivampet,Jowar,14,0
2018-2019,Kharif,Medak,Yeldurthy,Jowar,0,0
2018-2019,Kharif,Medak,Tupran,Jowar,4,0
2018-2019,Kharif,Medak,Manoharabad,Jowar,0,0
2018-2019,Kharif,Medak,Shankarampet (A),Bajra,0,0
2018-2019,Kharif,Medak,Regode,Bajra,0,0
2018-2019,Kharif,Medak,Alladurg,Bajra,0,0
2018-2019,Kharif,Medak,Tekmal,Bajra,0,0
2018-2019,Kharif,Medak,Papannapet,Bajra,0,0
2018-2019,Kharif,Medak,Havelighanpur,Bajra,0,0
2018-2019,Kharif,Medak,Ramayampet,Bajra,0,0
2018-2019,Kharif,Medak,Nizampet,Bajra,0,2
2018-2019,Kharif,Medak,Chegunta,Bajra,0,0
2018-2019,Kharif,Medak,Narsingi,Bajra,0,0
2018-2019,Kharif,Medak,Shankarampet (R),Bajra,0,0
2018-2019,Kharif,Medak,Medak,Bajra,0,0
2018-2019,Kharif,Medak,Kulcharam,Bajra,0,0
