year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Nagarkurnool,Thimmajipeta,Paddy,603,724
2018-2019,Kharif,Nagarkurnool,Bijinapalle,Paddy,460,1792
2018-2019,Kharif,Nagarkurnool,Nagarkurnool,Paddy,356,514
2018-2019,Kharif,Nagarkurnool,Tadoor,Paddy,496,1554
2018-2019,Kharif,Nagarkurnool,Urkonda,Paddy,356,359
2018-2019,Kharif,Nagarkurnool,Veldanda,Paddy,395,504
2018-2019,Kharif,Nagarkurnool,Charakonda,Paddy,140,111
2018-2019,Kharif,Nagarkurnool,Vangoor,Paddy,524,571
2018-2019,Kharif,Nagarkurnool,Kalwakurthy,Paddy,494,1382
2018-2019,Kharif,Nagarkurnool,Telkapalle,Paddy,374,326
2018-2019,Kharif,Nagarkurnool,Uppunuthala,Paddy,595,1145
2018-2019,Kharif,Nagarkurnool,Achampet,Paddy,657,480
2018-2019,Kharif,Nagarkurnool,Amrabad,Paddy,214,212
2018-2019,Kharif,Nagarkurnool,Padara,Paddy,40,26
2018-2019,Kharif,Nagarkurnool,Balmoor,Paddy,480,618
2018-2019,Kharif,Nagarkurnool,Lingal,Paddy,437,269
2018-2019,Kharif,Nagarkurnool,Peddakothapalle,Paddy,711,1270
2018-2019,Kharif,Nagarkurnool,Kodair,Paddy,777,1101
2018-2019,Kharif,Nagarkurnool,Kollapur,Paddy,1512,2343
2018-2019,Kharif,Nagarkurnool,Pentlavelli,Paddy,595,490
2018-2019,Kharif,Nagarkurnool,Thimmajipeta,Jowar,264,122
2018-2019,Kharif,Nagarkurnool,Bijinapalle,Jowar,227,228
2018-2019,Kharif,Nagarkurnool,Nagarkurnool,Jowar,99,43
2018-2019,Kharif,Nagarkurnool,Tadoor,Jowar,34,0
2018-2019,Kharif,Nagarkurnool,Urkonda,Jowar,130,48
2018-2019,Kharif,Nagarkurnool,Veldanda,Jowar,562,99
2018-2019,Kharif,Nagarkurnool,Charakonda,Jowar,116,12
2018-2019,Kharif,Nagarkurnool,Vangoor,Jowar,319,301
2018-2019,Kharif,Nagarkurnool,Kalwakurthy,Jowar,244,91
2018-2019,Kharif,Nagarkurnool,Telkapalle,Jowar,161,55
2018-2019,Kharif,Nagarkurnool,Uppunuthala,Jowar,683,290
2018-2019,Kharif,Nagarkurnool,Achampet,Jowar,893,50
2018-2019,Kharif,Nagarkurnool,Amrabad,Jowar,33,14
2018-2019,Kharif,Nagarkurnool,Padara,Jowar,6,32
2018-2019,Kharif,Nagarkurnool,Balmoor,Jowar,337,335
2018-2019,Kharif,Nagarkurnool,Lingal,Jowar,84,62
2018-2019,Kharif,Nagarkurnool,Peddakothapalle,Jowar,155,22
2018-2019,Kharif,Nagarkurnool,Kodair,Jowar,150,75
2018-2019,Kharif,Nagarkurnool,Kollapur,Jowar,77,24
2018-2019,Kharif,Nagarkurnool,Pentlavelli,Jowar,5,0
2018-2019,Kharif,Nagarkurnool,Thimmajipeta,Bajra,0,0
2018-2019,Kharif,Nagarkurnool,Bijinapalle,Bajra,0,0
2018-2019,Kharif,Nagarkurnool,Nagarkurnool,Bajra,0,0
2018-2019,Kharif,Nagarkurnool,Tadoor,Bajra,0,0
2018-2019,Kharif,Nagarkurnool,Urkonda,Bajra,0,0
2018-2019,Kharif,Nagarkurnool,Veldanda,Bajra,8,0
2018-2019,Kharif,Nagarkurnool,Charakonda,Bajra,8,0
2018-2019,Kharif,Nagarkurnool,Vangoor,Bajra,8,0
2018-2019,Kharif,Nagarkurnool,Kalwakurthy,Bajra,9,0
2018-2019,Kharif,Nagarkurnool,Telkapalle,Bajra,1,3
2018-2019,Kharif,Nagarkurnool,Uppunuthala,Bajra,62,2
2018-2019,Kharif,Nagarkurnool,Achampet,Bajra,95,0
2018-2019,Kharif,Nagarkurnool,Amrabad,Bajra,4,0
2018-2019,Kharif,Nagarkurnool,Padara,Bajra,0,0
2018-2019,Kharif,Nagarkurnool,Balmoor,Bajra,27,0
2018-2019,Kharif,Nagarkurnool,Lingal,Bajra,2,0
2018-2019,Kharif,Nagarkurnool,Peddakothapalle,Bajra,0,0
2018-2019,Kharif,Nagarkurnool,Kodair,Bajra,0,0
2018-2019,Kharif,Nagarkurnool,Kollapur,Bajra,0,0
2018-2019,Kharif,Nagarkurnool,Pentlavelli,Bajra,0,0
2018-2019,Kharif,Nagarkurnool,Thimmajipeta,Maize,3976,2528
2018-2019,Kharif,Nagarkurnool,Bijinapalle,Maize,7051,3589
2018-2019,Kharif,Nagarkurnool,Nagarkurnool,Maize,7938,5121
2018-2019,Kharif,Nagarkurnool,Tadoor,Maize,2486,1760
2018-2019,Kharif,Nagarkurnool,Urkonda,Maize,3232,1675
2018-2019,Kharif,Nagarkurnool,Veldanda,Maize,1604,1157
2018-2019,Kharif,Nagarkurnool,Charakonda,Maize,359,25
2018-2019,Kharif,Nagarkurnool,Vangoor,Maize,2095,1452
2018-2019,Kharif,Nagarkurnool,Kalwakurthy,Maize,2546,1880
2018-2019,Kharif,Nagarkurnool,Telkapalle,Maize,6660,3619
2018-2019,Kharif,Nagarkurnool,Uppunuthala,Maize,4106,4353
2018-2019,Kharif,Nagarkurnool,Achampet,Maize,2233,1820
2018-2019,Kharif,Nagarkurnool,Amrabad,Maize,559,294
2018-2019,Kharif,Nagarkurnool,Padara,Maize,70,0
