year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Nalgonda,Chityala,Paddy,1376,1221
2018-2019,Kharif,Nalgonda,Narketpalle,Paddy,2050,3800
2018-2019,Kharif,Nalgonda,Kattangur,Paddy,1951,2541
2018-2019,Kharif,Nalgonda,Shaligowraram,Paddy,2127,3029
2018-2019,Kharif,Nalgonda,Nakrekal,Paddy,1521,1652
2018-2019,Kharif,Nalgonda,Kethepalli,Paddy,1901,3301
2018-2019,Kharif,Nalgonda,Thipparthy,Paddy,2007,2249
2018-2019,Kharif,Nalgonda,Nalgonda,Paddy,4130,4129
2018-2019,Kharif,Nalgonda,Kangal,Paddy,4258,4395
2018-2019,Kharif,Nalgonda,Munugode,Paddy,916,1916
2018-2019,Kharif,Nalgonda,Chandur,Paddy,287,391
2018-2019,Kharif,Nalgonda,Marriguda,Paddy,425,452
2018-2019,Kharif,Nalgonda,Chinthapally,Paddy,690,841
2018-2019,Kharif,Nalgonda,Nampally,Paddy,747,1081
2018-2019,Kharif,Nalgonda,Gurrampode,Paddy,1361,1218
2018-2019,Kharif,Nalgonda,P a pally,Paddy,3350,5127
2018-2019,Kharif,Nalgonda,Neredugommu,Paddy,158,215
2018-2019,Kharif,Nalgonda,Kondamallepally,Paddy,687,638
2018-2019,Kharif,Nalgonda,Devarakonda,Paddy,399,420
2018-2019,Kharif,Nalgonda,Gundlapally,Paddy,883,6082
2018-2019,Kharif,Nalgonda,Chandampet,Paddy,320,270
2018-2019,Kharif,Nalgonda,Anumula,Paddy,3236,4536
2018-2019,Kharif,Nalgonda,Nidmanoor,Paddy,4270,7348
2018-2019,Kharif,Nalgonda,Tripuraram,Paddy,4736,7054
2018-2019,Kharif,Nalgonda,Madugulapaly,Paddy,2277,3423
2018-2019,Kharif,Nalgonda,Vemulapally,Paddy,3526,5403
2018-2019,Kharif,Nalgonda,Miryalaguda,Paddy,7866,12997
2018-2019,Kharif,Nalgonda,Damaracharala,Paddy,2611,4245
2018-2019,Kharif,Nalgonda,Advidevulapally,Paddy,705,859
2018-2019,Kharif,Nalgonda,Thirmalgirisager,Paddy,1214,2385
2018-2019,Kharif,Nalgonda,Peddavooora,Paddy,1017,1301
2018-2019,Kharif,Nalgonda,Chityala,Jowar,0,0
2018-2019,Kharif,Nalgonda,Narketpalle,Jowar,0,0
2018-2019,Kharif,Nalgonda,Kattangur,Jowar,0,0
2018-2019,Kharif,Nalgonda,Shaligowraram,Jowar,0,0
2018-2019,Kharif,Nalgonda,Nakrekal,Jowar,0,0
2018-2019,Kharif,Nalgonda,Kethepalli,Jowar,0,0
