year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Nirmal,Kubeer,Paddy,802,78
2018-2019,Kharif,Nirmal,Tanoor,Paddy,752.75,0
2018-2019,Kharif,Nirmal,Basar,Paddy,1001.75,255
2018-2019,Kharif,Nirmal,Mudhole,Paddy,1065,1878
2018-2019,Kharif,Nirmal,Bhainsa,Paddy,1245,822
2018-2019,Kharif,Nirmal,Kuntala,Paddy,1065,698
2018-2019,Kharif,Nirmal,Narsapur G,Paddy,224.75,2015
2018-2019,Kharif,Nirmal,Lokeshwaram,Paddy,1279.5,1232
2018-2019,Kharif,Nirmal,Dilawarpur,Paddy,2126.4,1445
2018-2019,Kharif,Nirmal,Sarangapur,Paddy,1126,2597
2018-2019,Kharif,Nirmal,Nirmal Urban,Paddy,89,93
2018-2019,Kharif,Nirmal,Nirmal Rural,Paddy,14,1056
2018-2019,Kharif,Nirmal,Soan,Paddy,579.2,1744
2018-2019,Kharif,Nirmal,Laxmanchanda,Paddy,1246.75,3642
2018-2019,Kharif,Nirmal,Mamada,Paddy,220.75,1568
2018-2019,Kharif,Nirmal,Pembi,Paddy,632.6,262
2018-2019,Kharif,Nirmal,Khanapur,Paddy,1484.2,2715
2018-2019,Kharif,Nirmal,Kaddam peddur,Paddy,1069,567
2018-2019,Kharif,Nirmal,Dasturabad,Paddy,78,1866
2018-2019,Kharif,Nirmal,Kubeer,Jowar,1,3
2018-2019,Kharif,Nirmal,Tanoor,Jowar,0,0
2018-2019,Kharif,Nirmal,Basar,Jowar,0,0
2018-2019,Kharif,Nirmal,Mudhole,Jowar,0,0
2018-2019,Kharif,Nirmal,Bhainsa,Jowar,2,0
2018-2019,Kharif,Nirmal,Kuntala,Jowar,0,0
2018-2019,Kharif,Nirmal,Narsapur G,Jowar,0,0
2018-2019,Kharif,Nirmal,Lokeshwaram,Jowar,0,0
2018-2019,Kharif,Nirmal,Dilawarpur,Jowar,0,0
2018-2019,Kharif,Nirmal,Sarangapur,Jowar,0,0
2018-2019,Kharif,Nirmal,Nirmal Urban,Jowar,199,0
2018-2019,Kharif,Nirmal,Nirmal Rural,Jowar,74,0
2018-2019,Kharif,Nirmal,Soan,Jowar,0,0
2018-2019,Kharif,Nirmal,Laxmanchanda,Jowar,1.25,0
2018-2019,Kharif,Nirmal,Mamada,Jowar,0,28
2018-2019,Kharif,Nirmal,Pembi,Jowar,0,0
2018-2019,Kharif,Nirmal,Khanapur,Jowar,3,0
2018-2019,Kharif,Nirmal,Kaddam peddur,Jowar,0,0
2018-2019,Kharif,Nirmal,Dasturabad,Jowar,0,0
2018-2019,Kharif,Nirmal,Kubeer,Maize,5,7
2018-2019,Kharif,Nirmal,Tanoor,Maize,79,0
2018-2019,Kharif,Nirmal,Basar,Maize,417.5,0
2018-2019,Kharif,Nirmal,Mudhole,Maize,816.75,4
2018-2019,Kharif,Nirmal,Bhainsa,Maize,715.8,5
2018-2019,Kharif,Nirmal,Kuntala,Maize,816.75,0
2018-2019,Kharif,Nirmal,Narsapur G,Maize,394,0
2018-2019,Kharif,Nirmal,Lokeshwaram,Maize,1809.25,44
2018-2019,Kharif,Nirmal,Dilawarpur,Maize,14.6,468
2018-2019,Kharif,Nirmal,Sarangapur,Maize,1664,77
2018-2019,Kharif,Nirmal,Nirmal Urban,Maize,23,2
2018-2019,Kharif,Nirmal,Nirmal Rural,Maize,0,1042
2018-2019,Kharif,Nirmal,Soan,Maize,111.4,883
2018-2019,Kharif,Nirmal,Laxmanchanda,Maize,5.5,1764
2018-2019,Kharif,Nirmal,Mamada,Maize,0,2145
2018-2019,Kharif,Nirmal,Pembi,Maize,592,357
2018-2019,Kharif,Nirmal,Khanapur,Maize,154.8,951
2018-2019,Kharif,Nirmal,Kaddam peddur,Maize,1060,0
2018-2019,Kharif,Nirmal,Dasturabad,Maize,5,31
2018-2019,Kharif,Nirmal,Kubeer,Red Gram,311,1139
2018-2019,Kharif,Nirmal,Tanoor,Red Gram,314,1417
2018-2019,Kharif,Nirmal,Basar,Red Gram,218.5,444
2018-2019,Kharif,Nirmal,Mudhole,Red Gram,97,586
2018-2019,Kharif,Nirmal,Bhainsa,Red Gram,208,1161
2018-2019,Kharif,Nirmal,Kuntala,Red Gram,97,233
2018-2019,Kharif,Nirmal,Narsapur G,Red Gram,159.5,203
2018-2019,Kharif,Nirmal,Lokeshwaram,Red Gram,105.5,223
2018-2019,Kharif,Nirmal,Dilawarpur,Red Gram,185,296
2018-2019,Kharif,Nirmal,Sarangapur,Red Gram,393.75,601
2018-2019,Kharif,Nirmal,Nirmal Urban,Red Gram,1117,1
2018-2019,Kharif,Nirmal,Nirmal Rural,Red Gram,847,162
2018-2019,Kharif,Nirmal,Soan,Red Gram,967.6,247
2018-2019,Kharif,Nirmal,Laxmanchanda,Red Gram,407.5,304
2018-2019,Kharif,Nirmal,Mamada,Red Gram,273.25,629
2018-2019,Kharif,Nirmal,Pembi,Red Gram,85.6,332
2018-2019,Kharif,Nirmal,Khanapur,Red Gram,212.6,154
2018-2019,Kharif,Nirmal,Kaddam peddur,Red Gram,157,0
2018-2019,Kharif,Nirmal,Dasturabad,Red Gram,4,16
2018-2019,Kharif,Nirmal,Kubeer,Black Gram,123,321
2018-2019,Kharif,Nirmal,Tanoor,Black Gram,126.5,1509
2018-2019,Kharif,Nirmal,Basar,Black Gram,38.25,936
2018-2019,Kharif,Nirmal,Mudhole,Black Gram,20.25,687
2018-2019,Kharif,Nirmal,Bhainsa,Black Gram,14.2,458
2018-2019,Kharif,Nirmal,Kuntala,Black Gram,20.25,26
2018-2019,Kharif,Nirmal,Narsapur G,Black Gram,20.5,103
2018-2019,Kharif,Nirmal,Lokeshwaram,Black Gram,25.5,108
2018-2019,Kharif,Nirmal,Dilawarpur,Black Gram,148.6,47
2018-2019,Kharif,Nirmal,Sarangapur,Black Gram,32.75,15
2018-2019,Kharif,Nirmal,Nirmal Urban,Black Gram,245,0
2018-2019,Kharif,Nirmal,Nirmal Rural,Black Gram,824,40
2018-2019,Kharif,Nirmal,Soan,Black Gram,345.2,3
2018-2019,Kharif,Nirmal,Laxmanchanda,Black Gram,331.75,26
2018-2019,Kharif,Nirmal,Mamada,Black Gram,512.5,66
2018-2019,Kharif,Nirmal,Pembi,Black Gram,9.8,0
2018-2019,Kharif,Nirmal,Khanapur,Black Gram,23.6,7
2018-2019,Kharif,Nirmal,Kaddam peddur,Black Gram,43,0
2018-2019,Kharif,Nirmal,Dasturabad,Black Gram,2,0
2018-2019,Kharif,Nirmal,Kubeer,Green Gram,23,134
2018-2019,Kharif,Nirmal,Tanoor,Green Gram,33.25,251
2018-2019,Kharif,Nirmal,Basar,Green Gram,20,19
2018-2019,Kharif,Nirmal,Mudhole,Green Gram,123.75,76
2018-2019,Kharif,Nirmal,Bhainsa,Green Gram,274.2,83
