year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Nizamabad,Nizamabad North,Paddy,246,105.6
2018-2019,Kharif,Nizamabad,Nizamabad South,Paddy,157,269.2
2018-2019,Kharif,Nizamabad,Nizamabad Rural,Paddy,2324,3621.6
2018-2019,Kharif,Nizamabad,Mugpal,Paddy,2456,3086
2018-2019,Kharif,Nizamabad,Dichpally,Paddy,4236,3418.8
2018-2019,Kharif,Nizamabad,Indalwai,Paddy,1665,2392
2018-2019,Kharif,Nizamabad,Jakranpally,Paddy,1688.8,1940.4
2018-2019,Kharif,Nizamabad,Dharpally,Paddy,3783,4462.8
2018-2019,Kharif,Nizamabad,Sirikonda,Paddy,5744,5793.6
2018-2019,Kharif,Nizamabad,Armoor,Paddy,2776.6,3594.4
2018-2019,Kharif,Nizamabad,Makloor,Paddy,4784.2,5672.4
2018-2019,Kharif,Nizamabad,Nandipet,Paddy,5093.6,4822.4
2018-2019,Kharif,Nizamabad,Bheemgal,Paddy,4913.6,5201.2
2018-2019,Kharif,Nizamabad,Morthad,Paddy,1538,2017.2
2018-2019,Kharif,Nizamabad,Yergatla,Paddy,1395,1529.2
2018-2019,Kharif,Nizamabad,Kammarpally,Paddy,2579.8,2954.4
2018-2019,Kharif,Nizamabad,Balkonda,Paddy,849,1058.4
2018-2019,Kharif,Nizamabad,Mupkal,Paddy,815,1018.4
2018-2019,Kharif,Nizamabad,Mendora,Paddy,1141,1472.4
2018-2019,Kharif,Nizamabad,Vailpoor,Paddy,2290,2201.6
2018-2019,Kharif,Nizamabad,Bodhan,Paddy,8234.2,10342.8
2018-2019,Kharif,Nizamabad,Yedapally,Paddy,3493.6,3989.6
2018-2019,Kharif,Nizamabad,Renjal,Paddy,2841.6,3652
2018-2019,Kharif,Nizamabad,Navipet,Paddy,4492,6806.4
2018-2019,Kharif,Nizamabad,Kotagiri,Paddy,4835,8249.6
2018-2019,Kharif,Nizamabad,Rudrur,Paddy,1883,2704
2018-2019,Kharif,Nizamabad,Varni,Paddy,6234,6968.4
2018-2019,Kharif,Nizamabad,Nizamabad North,Jowar,0,0
2018-2019,Kharif,Nizamabad,Nizamabad South,Jowar,0,0
2018-2019,Kharif,Nizamabad,Nizamabad Rural,Jowar,0,0
2018-2019,Kharif,Nizamabad,Mugpal,Jowar,0,0
2018-2019,Kharif,Nizamabad,Dichpally,Jowar,0,0
2018-2019,Kharif,Nizamabad,Indalwai,Jowar,0,0
2018-2019,Kharif,Nizamabad,Jakranpally,Jowar,0,0
2018-2019,Kharif,Nizamabad,Dharpally,Jowar,0,0
2018-2019,Kharif,Nizamabad,Sirikonda,Jowar,1,0
2018-2019,Kharif,Nizamabad,Armoor,Jowar,0,0
2018-2019,Kharif,Nizamabad,Makloor,Jowar,0,0
2018-2019,Kharif,Nizamabad,Nandipet,Jowar,0,0
2018-2019,Kharif,Nizamabad,Bheemgal,Jowar,0,0
2018-2019,Kharif,Nizamabad,Morthad,Jowar,0,0
2018-2019,Kharif,Nizamabad,Yergatla,Jowar,0,0
2018-2019,Kharif,Nizamabad,Kammarpally,Jowar,0,0
2018-2019,Kharif,Nizamabad,Balkonda,Jowar,0,0
2018-2019,Kharif,Nizamabad,Mupkal,Jowar,0,0
2018-2019,Kharif,Nizamabad,Mendora,Jowar,0,0
2018-2019,Kharif,Nizamabad,Vailpoor,Jowar,0,0
2018-2019,Kharif,Nizamabad,Bodhan,Jowar,1.4,0
2018-2019,Kharif,Nizamabad,Yedapally,Jowar,0,0
2018-2019,Kharif,Nizamabad,Renjal,Jowar,0,0
2018-2019,Kharif,Nizamabad,Navipet,Jowar,0,0
2018-2019,Kharif,Nizamabad,Kotagiri,Jowar,0,0
2018-2019,Kharif,Nizamabad,Rudrur,Jowar,0,0
2018-2019,Kharif,Nizamabad,Varni,Jowar,0,0
2018-2019,Kharif,Nizamabad,Nizamabad North,Maize,0,0
2018-2019,Kharif,Nizamabad,Nizamabad South,Maize,0,0
2018-2019,Kharif,Nizamabad,Nizamabad Rural,Maize,36,1.2
2018-2019,Kharif,Nizamabad,Mugpal,Maize,107,94
2018-2019,Kharif,Nizamabad,Dichpally,Maize,459,258.8
2018-2019,Kharif,Nizamabad,Indalwai,Maize,104,154
2018-2019,Kharif,Nizamabad,Jakranpally,Maize,2080,2097.2
2018-2019,Kharif,Nizamabad,Dharpally,Maize,491,487.6
2018-2019,Kharif,Nizamabad,Sirikonda,Maize,496,438.4
2018-2019,Kharif,Nizamabad,Armoor,Maize,1957.4,3134.8
2018-2019,Kharif,Nizamabad,Makloor,Maize,85.8,82
2018-2019,Kharif,Nizamabad,Nandipet,Maize,1012.2,1452.8
2018-2019,Kharif,Nizamabad,Bheemgal,Maize,442.6,408
2018-2019,Kharif,Nizamabad,Morthad,Maize,1435,1772.4
2018-2019,Kharif,Nizamabad,Yergatla,Maize,1505,1337.6
2018-2019,Kharif,Nizamabad,Kammarpally,Maize,2504.8,2192.8
2018-2019,Kharif,Nizamabad,Balkonda,Maize,772,1273.2
2018-2019,Kharif,Nizamabad,Mupkal,Maize,640,758.4
2018-2019,Kharif,Nizamabad,Mendora,Maize,962,1311.6
2018-2019,Kharif,Nizamabad,Vailpoor,Maize,2285,2801.2
2018-2019,Kharif,Nizamabad,Bodhan,Maize,1.4,18.4
2018-2019,Kharif,Nizamabad,Yedapally,Maize,0,0
2018-2019,Kharif,Nizamabad,Renjal,Maize,2.4,0
2018-2019,Kharif,Nizamabad,Navipet,Maize,28.8,14.4
2018-2019,Kharif,Nizamabad,Kotagiri,Maize,23.6,10.4
2018-2019,Kharif,Nizamabad,Rudrur,Maize,17,4
2018-2019,Kharif,Nizamabad,Varni,Maize,323,817.6
2018-2019,Kharif,Nizamabad,Nizamabad North,Red Gram,0,0
