year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Peddapalli,Peddapally,Paddy,5589,6883
2018-2019,Kharif,Peddapalli,Julapally,Paddy,2259,4194
2018-2019,Kharif,Peddapalli,Sulthanabad,Paddy,6278,8746
2018-2019,Kharif,Peddapalli,Odela,Paddy,4798,6573
2018-2019,Kharif,Peddapalli,Srirampur,Paddy,4467,5108
2018-2019,Kharif,Peddapalli,Eligaid,Paddy,3312,5057
2018-2019,Kharif,Peddapalli,Dharmaram,Paddy,3946,5232
2018-2019,Kharif,Peddapalli,Palakurthy,Paddy,802,2048
2018-2019,Kharif,Peddapalli,Anthargaon,Paddy,462,1782
2018-2019,Kharif,Peddapalli,Ramagundam,Paddy,1985,881
2018-2019,Kharif,Peddapalli,Manthani,Paddy,3013,4352
2018-2019,Kharif,Peddapalli,Mutharam,Paddy,2840,2980
2018-2019,Kharif,Peddapalli,Kamanpur,Paddy,2514.8,1608
2018-2019,Kharif,Peddapalli,Ramagiri,Paddy,841,2360
2018-2019,Kharif,Peddapalli,Peddapally,Maize,177,47
2018-2019,Kharif,Peddapalli,Julapally,Maize,509,97
2018-2019,Kharif,Peddapalli,Sulthanabad,Maize,804,55
2018-2019,Kharif,Peddapalli,Odela,Maize,778,252
2018-2019,Kharif,Peddapalli,Srirampur,Maize,1015,1094
2018-2019,Kharif,Peddapalli,Eligaid,Maize,23,8
2018-2019,Kharif,Peddapalli,Dharmaram,Maize,770,34
2018-2019,Kharif,Peddapalli,Palakurthy,Maize,73,25
2018-2019,Kharif,Peddapalli,Anthargaon,Maize,83,8
2018-2019,Kharif,Peddapalli,Ramagundam,Maize,90,0
2018-2019,Kharif,Peddapalli,Manthani,Maize,4,0
2018-2019,Kharif,Peddapalli,Mutharam,Maize,5,2
2018-2019,Kharif,Peddapalli,Kamanpur,Maize,6,2
2018-2019,Kharif,Peddapalli,Ramagiri,Maize,1,0
2018-2019,Kharif,Peddapalli,Peddapally,Green Gram,32,6
2018-2019,Kharif,Peddapalli,Julapally,Green Gram,40,5
2018-2019,Kharif,Peddapalli,Sulthanabad,Green Gram,28,4
2018-2019,Kharif,Peddapalli,Odela,Green Gram,68,3
2018-2019,Kharif,Peddapalli,Srirampur,Green Gram,12,4
2018-2019,Kharif,Peddapalli,Eligaid,Green Gram,15,0
2018-2019,Kharif,Peddapalli,Dharmaram,Green Gram,84,2
2018-2019,Kharif,Peddapalli,Palakurthy,Green Gram,20,18
2018-2019,Kharif,Peddapalli,Anthargaon,Green Gram,16,11
2018-2019,Kharif,Peddapalli,Ramagundam,Green Gram,126,0
2018-2019,Kharif,Peddapalli,Manthani,Green Gram,1,2
2018-2019,Kharif,Peddapalli,Mutharam,Green Gram,2,2
2018-2019,Kharif,Peddapalli,Kamanpur,Green Gram,8,0
2018-2019,Kharif,Peddapalli,Ramagiri,Green Gram,1,1
2018-2019,Kharif,Peddapalli,Peddapally,Black Gram,1,0
2018-2019,Kharif,Peddapalli,Julapally,Black Gram,3,0
2018-2019,Kharif,Peddapalli,Sulthanabad,Black Gram,3,0
2018-2019,Kharif,Peddapalli,Odela,Black Gram,3,1
2018-2019,Kharif,Peddapalli,Srirampur,Black Gram,0,0
2018-2019,Kharif,Peddapalli,Eligaid,Black Gram,3,0
2018-2019,Kharif,Peddapalli,Dharmaram,Black Gram,4,0
2018-2019,Kharif,Peddapalli,Palakurthy,Black Gram,5,0
2018-2019,Kharif,Peddapalli,Anthargaon,Black Gram,2,0
2018-2019,Kharif,Peddapalli,Ramagundam,Black Gram,5,0
2018-2019,Kharif,Peddapalli,Manthani,Black Gram,1,1
2018-2019,Kharif,Peddapalli,Mutharam,Black Gram,0,1
2018-2019,Kharif,Peddapalli,Kamanpur,Black Gram,0,0
2018-2019,Kharif,Peddapalli,Ramagiri,Black Gram,0,0
