year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Rabi,Rangareddy,Shankarpally,Paddy,367,125
2018-2019,Rabi,Rangareddy,Moinabad,Paddy,357,0
2018-2019,Rabi,Rangareddy,Chevella,Paddy,73,12
2018-2019,Rabi,Rangareddy,Shabad,Paddy,463,112
2018-2019,Rabi,Rangareddy,Hayathnagar,Paddy,11,5
2018-2019,Rabi,Rangareddy,Abdullapurmet,Paddy,829,215
2018-2019,Rabi,Rangareddy,Ibrahimpatnam,Paddy,766,50
2018-2019,Rabi,Rangareddy,Manchal,Paddy,509,42
2018-2019,Rabi,Rangareddy,Yacharam,Paddy,368,38
2018-2019,Rabi,Rangareddy,Madgul,Paddy,381,22
2018-2019,Rabi,Rangareddy,Balapur,Paddy,67,28
2018-2019,Rabi,Rangareddy,Saroornagar,Paddy,0,0
2018-2019,Rabi,Rangareddy,Amangal,Paddy,348,50
2018-2019,Rabi,Rangareddy,Talakondapally,Paddy,659,102
2018-2019,Rabi,Rangareddy,Kadthal,Paddy,557,42
2018-2019,Rabi,Rangareddy,Kandukur,Paddy,577,24
2018-2019,Rabi,Rangareddy,Maheshwaram,Paddy,409,56
2018-2019,Rabi,Rangareddy,Serilingampally,Paddy,4,0
2018-2019,Rabi,Rangareddy,Gandipet,Paddy,55,15
2018-2019,Rabi,Rangareddy,Rajendranagar,Paddy,58,2
2018-2019,Rabi,Rangareddy,Shamshabad,Paddy,323,13
2018-2019,Rabi,Rangareddy,Keshampet,Paddy,628,14
2018-2019,Rabi,Rangareddy,Kothur,Paddy,210,75
2018-2019,Rabi,Rangareddy,Nandigam,Paddy,101,115
2018-2019,Rabi,Rangareddy,Farooqnagar,Paddy,499,22
2018-2019,Rabi,Rangareddy,Kondurg,Paddy,732,12
2018-2019,Rabi,Rangareddy,Chowdergudem,Paddy,271,15
2018-2019,Rabi,Rangareddy,Shankarpally,Wheat,31,17
2018-2019,Rabi,Rangareddy,Moinabad,Wheat,21,0
2018-2019,Rabi,Rangareddy,Chevella,Wheat,29,8
2018-2019,Rabi,Rangareddy,Shabad,Wheat,11,0
2018-2019,Rabi,Rangareddy,Hayathnagar,Wheat,0,0
2018-2019,Rabi,Rangareddy,Abdullapurmet,Wheat,0,0
2018-2019,Rabi,Rangareddy,Ibrahimpatnam,Wheat,1,0
2018-2019,Rabi,Rangareddy,Manchal,Wheat,0,0
2018-2019,Rabi,Rangareddy,Yacharam,Wheat,3,0
2018-2019,Rabi,Rangareddy,Madgul,Wheat,0,0
2018-2019,Rabi,Rangareddy,Balapur,Wheat,1,0
2018-2019,Rabi,Rangareddy,Saroornagar,Wheat,0,0
2018-2019,Rabi,Rangareddy,Amangal,Wheat,0,0
2018-2019,Rabi,Rangareddy,Talakondapally,Wheat,0,0
