year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Sangareddy,Sangareddy,Paddy,1375,550
2018-2019,Kharif,Sangareddy,Kandi ,Paddy,421,1464
2018-2019,Kharif,Sangareddy,Sadasivpet,Paddy,398,452.8
2018-2019,Kharif,Sangareddy,Kondapoor,Paddy,688,677
2018-2019,Kharif,Sangareddy,Patancheru,Paddy,1193,1093
2018-2019,Kharif,Sangareddy,Ameenpur ,Paddy,50,107
2018-2019,Kharif,Sangareddy,R.c.puram,Paddy,309,267
2018-2019,Kharif,Sangareddy,Jinnaram,Paddy,1364,1222
2018-2019,Kharif,Sangareddy,Gummadidala ,Paddy,243,840
2018-2019,Kharif,Sangareddy,Zaheerabad,Paddy,12,4
2018-2019,Kharif,Sangareddy,Mogudampally ,Paddy,0,0
2018-2019,Kharif,Sangareddy,Kohir,Paddy,10,0
2018-2019,Kharif,Sangareddy,Jharasangam,Paddy,26,0
2018-2019,Kharif,Sangareddy,Nyalkal,Paddy,32,1
2018-2019,Kharif,Sangareddy,Narayankhed,Paddy,1391,1763
2018-2019,Kharif,Sangareddy,Kangti,Paddy,270,170
2018-2019,Kharif,Sangareddy,Kalher,Paddy,2136,1583.6
2018-2019,Kharif,Sangareddy,Sirgapur,Paddy,197,459
2018-2019,Kharif,Sangareddy,Manoor,Paddy,79,2
2018-2019,Kharif,Sangareddy,Nagalgidda ,Paddy,4,6.88
2018-2019,Kharif,Sangareddy,Andole,Paddy,1721,1476
2018-2019,Kharif,Sangareddy,Pulkal,Paddy,2181,2363
2018-2019,Kharif,Sangareddy,Hathnoora,Paddy,2646,2151
2018-2019,Kharif,Sangareddy,Raikode,Paddy,100,36
2018-2019,Kharif,Sangareddy,Munipally,Paddy,35,20
2018-2019,Kharif,Sangareddy,Vatpally ,Paddy,94,171
2018-2019,Kharif,Sangareddy,Sangareddy,Jowar,199,10
2018-2019,Kharif,Sangareddy,Kandi ,Jowar,25,64
2018-2019,Kharif,Sangareddy,Sadasivpet,Jowar,67,44.8
2018-2019,Kharif,Sangareddy,Kondapoor,Jowar,259,125
2018-2019,Kharif,Sangareddy,Patancheru,Jowar,107,19
2018-2019,Kharif,Sangareddy,Ameenpur ,Jowar,1,4
2018-2019,Kharif,Sangareddy,R.c.puram,Jowar,84,67
2018-2019,Kharif,Sangareddy,Jinnaram,Jowar,43,9
2018-2019,Kharif,Sangareddy,Gummadidala ,Jowar,1,3
2018-2019,Kharif,Sangareddy,Zaheerabad,Jowar,1101,525
2018-2019,Kharif,Sangareddy,Mogudampally ,Jowar,131,50
2018-2019,Kharif,Sangareddy,Kohir,Jowar,224,0
2018-2019,Kharif,Sangareddy,Jharasangam,Jowar,412,220
2018-2019,Kharif,Sangareddy,Nyalkal,Jowar,712,38
2018-2019,Kharif,Sangareddy,Narayankhed,Jowar,959,376
2018-2019,Kharif,Sangareddy,Kangti,Jowar,1059,778.8
2018-2019,Kharif,Sangareddy,Kalher,Jowar,147,42.8
2018-2019,Kharif,Sangareddy,Sirgapur,Jowar,191,421
2018-2019,Kharif,Sangareddy,Manoor,Jowar,651,18
2018-2019,Kharif,Sangareddy,Nagalgidda ,Jowar,189,432.4
2018-2019,Kharif,Sangareddy,Andole,Jowar,11,12
2018-2019,Kharif,Sangareddy,Pulkal,Jowar,9,0
2018-2019,Kharif,Sangareddy,Hathnoora,Jowar,207,55
2018-2019,Kharif,Sangareddy,Raikode,Jowar,204,99
2018-2019,Kharif,Sangareddy,Munipally,Jowar,255,198
2018-2019,Kharif,Sangareddy,Vatpally ,Jowar,4,0
2018-2019,Kharif,Sangareddy,Sangareddy,Maize,762,10
2018-2019,Kharif,Sangareddy,Kandi ,Maize,472,251
2018-2019,Kharif,Sangareddy,Sadasivpet,Maize,179,18
2018-2019,Kharif,Sangareddy,Kondapoor,Maize,1418,522
2018-2019,Kharif,Sangareddy,Patancheru,Maize,708,451
2018-2019,Kharif,Sangareddy,Ameenpur ,Maize,0,
2018-2019,Kharif,Sangareddy,R.c.puram,Maize,194,53
2018-2019,Kharif,Sangareddy,Jinnaram,Maize,693,42
2018-2019,Kharif,Sangareddy,Gummadidala ,Maize,459,1038
2018-2019,Kharif,Sangareddy,Zaheerabad,Maize,1652,1126
2018-2019,Kharif,Sangareddy,Mogudampally ,Maize,316,57
2018-2019,Kharif,Sangareddy,Kohir,Maize,4108,3105
2018-2019,Kharif,Sangareddy,Jharasangam,Maize,1146,190
2018-2019,Kharif,Sangareddy,Nyalkal,Maize,72,11
2018-2019,Kharif,Sangareddy,Narayankhed,Maize,1124,454
2018-2019,Kharif,Sangareddy,Kangti,Maize,991,530.8
2018-2019,Kharif,Sangareddy,Kalher,Maize,1921,1274.4
2018-2019,Kharif,Sangareddy,Sirgapur,Maize,142,288
2018-2019,Kharif,Sangareddy,Manoor,Maize,30,
2018-2019,Kharif,Sangareddy,Nagalgidda ,Maize,1,
2018-2019,Kharif,Sangareddy,Andole,Maize,523,77.7
2018-2019,Kharif,Sangareddy,Pulkal,Maize,101,2.4
2018-2019,Kharif,Sangareddy,Hathnoora,Maize,691,210
2018-2019,Kharif,Sangareddy,Raikode,Maize,58,
2018-2019,Kharif,Sangareddy,Munipally,Maize,210,121
2018-2019,Kharif,Sangareddy,Vatpally ,Maize,12,0
2018-2019,Kharif,Sangareddy,Sangareddy,Bajra,0,
2018-2019,Kharif,Sangareddy,Kandi ,Bajra,0,
2018-2019,Kharif,Sangareddy,Sadasivpet,Bajra,0,
2018-2019,Kharif,Sangareddy,Kondapoor,Bajra,0,
2018-2019,Kharif,Sangareddy,Patancheru,Bajra,3,
2018-2019,Kharif,Sangareddy,Ameenpur ,Bajra,0,
2018-2019,Kharif,Sangareddy,R.c.puram,Bajra,0,
2018-2019,Kharif,Sangareddy,Jinnaram,Bajra,0,
2018-2019,Kharif,Sangareddy,Gummadidala ,Bajra,0,
2018-2019,Kharif,Sangareddy,Zaheerabad,Bajra,119,88
2018-2019,Kharif,Sangareddy,Mogudampally ,Bajra,14,
2018-2019,Kharif,Sangareddy,Kohir,Bajra,14,0
2018-2019,Kharif,Sangareddy,Jharasangam,Bajra,45,
2018-2019,Kharif,Sangareddy,Nyalkal,Bajra,32,21
2018-2019,Kharif,Sangareddy,Narayankhed,Bajra,0,
2018-2019,Kharif,Sangareddy,Kangti,Bajra,0,
2018-2019,Kharif,Sangareddy,Kalher,Bajra,0,
2018-2019,Kharif,Sangareddy,Sirgapur,Bajra,0,
2018-2019,Kharif,Sangareddy,Manoor,Bajra,0,
2018-2019,Kharif,Sangareddy,Nagalgidda ,Bajra,0,
2018-2019,Kharif,Sangareddy,Andole,Bajra,0,
2018-2019,Kharif,Sangareddy,Pulkal,Bajra,0,
2018-2019,Kharif,Sangareddy,Hathnoora,Bajra,0,
2018-2019,Kharif,Sangareddy,Raikode,Bajra,0,
2018-2019,Kharif,Sangareddy,Munipally,Bajra,0,
2018-2019,Kharif,Sangareddy,Vatpally ,Bajra,0,
2018-2019,Kharif,Sangareddy,Sangareddy,Red Gram,252,75
2018-2019,Kharif,Sangareddy,Kandi ,Red Gram,108,231
2018-2019,Kharif,Sangareddy,Sadasivpet,Red Gram,463,350
2018-2019,Kharif,Sangareddy,Kondapoor,Red Gram,300,708
2018-2019,Kharif,Sangareddy,Patancheru,Red Gram,122,62
