year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Siddipet,Dubbak,Paddy,2089.152,1968.4
2018-2019,Kharif,Siddipet,Siddipet Rural,Paddy,1771.712,1540.4
2018-2019,Kharif,Siddipet,Chinnakodur,Paddy,2084.192,1740.8
2018-2019,Kharif,Siddipet,Bejjanki,Paddy,1217.184,792
2018-2019,Kharif,Siddipet,Koheda,Paddy,2346.08,2324.8
2018-2019,Kharif,Siddipet,Husnabad,Paddy,1270.752,1720.8
2018-2019,Kharif,Siddipet,Akkannapet,Paddy,1933.408,2280.8
2018-2019,Kharif,Siddipet,Nanganoor,Paddy,1869.92,1809.2
2018-2019,Kharif,Siddipet,Siddipet Urban,Paddy,1212.224,1141.2
2018-2019,Kharif,Siddipet,Thoguta,Paddy,1815.36,1726
2018-2019,Kharif,Siddipet,Mirdoddi,Paddy,2010.784,1946.8
2018-2019,Kharif,Siddipet,Doulthabad,Paddy,722.176,530
2018-2019,Kharif,Siddipet,Raypole,Paddy,694.4,668
2018-2019,Kharif,Siddipet,Wargal,Paddy,1029.696,730.8
2018-2019,Kharif,Siddipet,Mulugu,Paddy,1008.864,773.76
2018-2019,Kharif,Siddipet,Markook,Paddy,508.896,394.8
2018-2019,Kharif,Siddipet,Jagdevpur,Paddy,906.688,756.8
2018-2019,Kharif,Siddipet,Gajwel,Paddy,1162.624,820.4
2018-2019,Kharif,Siddipet,Kondapak,Paddy,1527.68,1286
2018-2019,Kharif,Siddipet,Komuravelly,Paddy,709.28,880
2018-2019,Kharif,Siddipet,Cherial,Paddy,1609.024,1685.408
2018-2019,Kharif,Siddipet,Maddur,Paddy,1744.928,2420.8
2018-2019,Kharif,Siddipet,Dubbak,Maize,8729.6,8086
2018-2019,Kharif,Siddipet,Siddipet Rural,Maize,6127.584,5296
2018-2019,Kharif,Siddipet,Chinnakodur,Maize,5765.504,5926
2018-2019,Kharif,Siddipet,Bejjanki,Maize,585.28,540
2018-2019,Kharif,Siddipet,Koheda,Maize,1681.44,1754
2018-2019,Kharif,Siddipet,Husnabad,Maize,1723.104,1261.824
2018-2019,Kharif,Siddipet,Akkannapet,Maize,3727.936,3608
2018-2019,Kharif,Siddipet,Nanganoor,Maize,4485.824,4328.4
2018-2019,Kharif,Siddipet,Siddipet Urban,Maize,2588.128,2404
2018-2019,Kharif,Siddipet,Thoguta,Maize,4787.392,3661.6
2018-2019,Kharif,Siddipet,Mirdoddi,Maize,8073.888,7794.8
2018-2019,Kharif,Siddipet,Doulthabad,Maize,5414.336,5240.8
2018-2019,Kharif,Siddipet,Raypole,Maize,3563.264,3025.6
2018-2019,Kharif,Siddipet,Wargal,Maize,2278.624,2323.2
2018-2019,Kharif,Siddipet,Mulugu,Maize,1842.144,1800.8
2018-2019,Kharif,Siddipet,Markook,Maize,2524.64,2492.4
2018-2019,Kharif,Siddipet,Jagdevpur,Maize,4831.04,4356.8
2018-2019,Kharif,Siddipet,Gajwel,Maize,5286.368,5221.6
2018-2019,Kharif,Siddipet,Kondapak,Maize,3319.232,3273.6
2018-2019,Kharif,Siddipet,Komuravelly,Maize,986.048,615.04
2018-2019,Kharif,Siddipet,Cherial,Maize,3364.864,3185.6
2018-2019,Kharif,Siddipet,Maddur,Maize,2586.144,2636
2018-2019,Kharif,Siddipet,Dubbak,Cotton,669.6,952.8
2018-2019,Kharif,Siddipet,Siddipet Rural,Cotton,1168.576,2063.36
2018-2019,Kharif,Siddipet,Chinnakodur,Cotton,2101.056,2008.4
2018-2019,Kharif,Siddipet,Bejjanki,Cotton,7465.792,7500
2018-2019,Kharif,Siddipet,Koheda,Cotton,6239.68,6085.6
2018-2019,Kharif,Siddipet,Husnabad,Cotton,2572.256,2542
2018-2019,Kharif,Siddipet,Akkannapet,Cotton,4590.976,4252
2018-2019,Kharif,Siddipet,Nanganoor,Cotton,2869.856,2780.4
2018-2019,Kharif,Siddipet,Siddipet Urban,Cotton,636.864,1525.696
2018-2019,Kharif,Siddipet,Thoguta,Cotton,2366.912,3237.888
2018-2019,Kharif,Siddipet,Mirdoddi,Cotton,774.752,978.112
2018-2019,Kharif,Siddipet,Doulthabad,Cotton,1413.6,1649.6
2018-2019,Kharif,Siddipet,Raypole,Cotton,2057.408,2144.704
2018-2019,Kharif,Siddipet,Wargal,Cotton,1839.168,2279.2
2018-2019,Kharif,Siddipet,Mulugu,Cotton,1302.496,1593.6
2018-2019,Kharif,Siddipet,Markook,Cotton,2337.152,2209.6
2018-2019,Kharif,Siddipet,Jagdevpur,Cotton,5288.352,6428.8
2018-2019,Kharif,Siddipet,Gajwel,Cotton,5807.168,6049.6
2018-2019,Kharif,Siddipet,Kondapak,Cotton,3921.376,3941.6
2018-2019,Kharif,Siddipet,Komuravelly,Cotton,1514.784,1880
2018-2019,Kharif,Siddipet,Cherial,Cotton,6010.528,5848
2018-2019,Kharif,Siddipet,Maddur,Cotton,4381.664,3546
2018-2019,Kharif,Siddipet,Dubbak,Red Gram,431.52,316
2018-2019,Kharif,Siddipet,Siddipet Rural,Red Gram,3290.464,3025.6
2018-2019,Kharif,Siddipet,Chinnakodur,Red Gram,558.496,715.2
2018-2019,Kharif,Siddipet,Bejjanki,Red Gram,36.704,31.6
2018-2019,Kharif,Siddipet,Koheda,Red Gram,127.968,91.2
2018-2019,Kharif,Siddipet,Husnabad,Red Gram,41.664,152.8
2018-2019,Kharif,Siddipet,Akkannapet,Red Gram,81.344,180.8
2018-2019,Kharif,Siddipet,Nanganoor,Red Gram,623.968,646
2018-2019,Kharif,Siddipet,Siddipet Urban,Red Gram,294.624,336
2018-2019,Kharif,Siddipet,Thoguta,Red Gram,185.504,182.8
2018-2019,Kharif,Siddipet,Mirdoddi,Red Gram,90.272,172.8
2018-2019,Kharif,Siddipet,Doulthabad,Red Gram,78.368,166.8
2018-2019,Kharif,Siddipet,Raypole,Red Gram,496,410
2018-2019,Kharif,Siddipet,Wargal,Red Gram,106.144,179.2
2018-2019,Kharif,Siddipet,Mulugu,Red Gram,87.296,108.4
2018-2019,Kharif,Siddipet,Markook,Red Gram,84.32,97.2
2018-2019,Kharif,Siddipet,Jagdevpur,Red Gram,214.272,186
2018-2019,Kharif,Siddipet,Gajwel,Red Gram,278.752,304.4
2018-2019,Kharif,Siddipet,Kondapak,Red Gram,451.36,409.6
