year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Suryapet,Nagaram,Paddy,1165,1114
2018-2019,Kharif,Suryapet,Tirumalagiri,Paddy,841,826
2018-2019,Kharif,Suryapet,Thungathurthi,Paddy,1200,1210
2018-2019,Kharif,Suryapet,Maddirala,Paddy,1418,1268
2018-2019,Kharif,Suryapet,Nuthankal,Paddy,1223,1259
2018-2019,Kharif,Suryapet,Jajireddygudem,Paddy,1086,991
2018-2019,Kharif,Suryapet,Suryapeta,Paddy,3192,7252
2018-2019,Kharif,Suryapet,Athmakur ,Paddy,1703,2477
2018-2019,Kharif,Suryapet,Mothey,Paddy,1745,2403
2018-2019,Kharif,Suryapet,Chivemla,Paddy,1167,1835
2018-2019,Kharif,Suryapet,Penpahad,Paddy,3193,4135
2018-2019,Kharif,Suryapet,Garidepally,Paddy,10059,10491
2018-2019,Kharif,Suryapet,Nereducharla,Paddy,6431,7664
2018-2019,Kharif,Suryapet,Palakeedu,Paddy,3145,4642
2018-2019,Kharif,Suryapet,Munagala,Paddy,3791,5121
2018-2019,Kharif,Suryapet,Nadigudem,Paddy,2939,3751
2018-2019,Kharif,Suryapet,Kodad,Paddy,5107,8174
2018-2019,Kharif,Suryapet,Chilkur,Paddy,6647,8082
2018-2019,Kharif,Suryapet,Mattampally,Paddy,4037,4960
2018-2019,Kharif,Suryapet,Huzurnagar,Paddy,5265,7732
2018-2019,Kharif,Suryapet,Mellachervu,Paddy,1720,2628
2018-2019,Kharif,Suryapet,Ananthagiri,Paddy,3720,4913
2018-2019,Kharif,Suryapet,Chinthalapalem,Paddy,115,104
2018-2019,Kharif,Suryapet,Nagaram,Maize,0,0
2018-2019,Kharif,Suryapet,Tirumalagiri,Maize,,0
2018-2019,Kharif,Suryapet,Thungathurthi,Maize,2,0
2018-2019,Kharif,Suryapet,Maddirala,Maize,8,0
2018-2019,Kharif,Suryapet,Nuthankal,Maize,5,0
2018-2019,Kharif,Suryapet,Jajireddygudem,Maize,,0
2018-2019,Kharif,Suryapet,Suryapeta,Maize,,0
2018-2019,Kharif,Suryapet,Athmakur ,Maize,2,0
2018-2019,Kharif,Suryapet,Mothey,Maize,1,0
2018-2019,Kharif,Suryapet,Chivemla,Maize,,0
2018-2019,Kharif,Suryapet,Penpahad,Maize,13,0
2018-2019,Kharif,Suryapet,Garidepally,Maize,,0
2018-2019,Kharif,Suryapet,Nereducharla,Maize,,0
2018-2019,Kharif,Suryapet,Palakeedu,Maize,,0
2018-2019,Kharif,Suryapet,Munagala,Maize,,0
2018-2019,Kharif,Suryapet,Nadigudem,Maize,6,0
2018-2019,Kharif,Suryapet,Kodad,Maize,8,15
2018-2019,Kharif,Suryapet,Chilkur,Maize,,2
2018-2019,Kharif,Suryapet,Mattampally,Maize,,0
2018-2019,Kharif,Suryapet,Huzurnagar,Maize,,0
2018-2019,Kharif,Suryapet,Mellachervu,Maize,,0
2018-2019,Kharif,Suryapet,Ananthagiri,Maize,3,0
2018-2019,Kharif,Suryapet,Chinthalapalem,Maize,,0
2018-2019,Kharif,Suryapet,Nagaram,Green Gram,565,259
2018-2019,Kharif,Suryapet,Tirumalagiri,Green Gram,585,310
2018-2019,Kharif,Suryapet,Thungathurthi,Green Gram,839,787
2018-2019,Kharif,Suryapet,Maddirala,Green Gram,1794,803
2018-2019,Kharif,Suryapet,Nuthankal,Green Gram,1429,482
2018-2019,Kharif,Suryapet,Jajireddygudem,Green Gram,814,750
2018-2019,Kharif,Suryapet,Suryapeta,Green Gram,1722,240
2018-2019,Kharif,Suryapet,Athmakur ,Green Gram,1614,746
2018-2019,Kharif,Suryapet,Mothey,Green Gram,2068,1529
2018-2019,Kharif,Suryapet,Chivemla,Green Gram,1578,834
