year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Rabi,Vikarabad,Marpalle,Paddy,9,0
2018-2019,Rabi,Vikarabad,Mominpet,Paddy,58,22
2018-2019,Rabi,Vikarabad,Nawabpet,Paddy,21,0
2018-2019,Rabi,Vikarabad,Vikarabad,Paddy,51,15
2018-2019,Rabi,Vikarabad,Pudur,Paddy,114,45
2018-2019,Rabi,Vikarabad,Pargi,Paddy,304,250
2018-2019,Rabi,Vikarabad,Kulkacharla,Paddy,863,140
2018-2019,Rabi,Vikarabad,Doma,Paddy,1080,120
2018-2019,Rabi,Vikarabad,Bomraspeta,Paddy,1168,365
2018-2019,Rabi,Vikarabad,Dharur,Paddy,296,22
2018-2019,Rabi,Vikarabad,Kotepally,Paddy,11,8
2018-2019,Rabi,Vikarabad,Bantwaram,Paddy,10,0
2018-2019,Rabi,Vikarabad,Peddemul,Paddy,308,112
2018-2019,Rabi,Vikarabad,Tandur,Paddy,601,180
2018-2019,Rabi,Vikarabad,Basheerabad,Paddy,334,275
2018-2019,Rabi,Vikarabad,Yelal,Paddy,1292,982
2018-2019,Rabi,Vikarabad,Kodangal,Paddy,522,321
2018-2019,Rabi,Vikarabad,Doulatabad,Paddy,854,345
2018-2019,Rabi,Vikarabad,Marpalle,Wheat,39,6
2018-2019,Rabi,Vikarabad,Mominpet,Wheat,33,0
2018-2019,Rabi,Vikarabad,Nawabpet,Wheat,30,0
2018-2019,Rabi,Vikarabad,Vikarabad,Wheat,28,10
2018-2019,Rabi,Vikarabad,Pudur,Wheat,11,2
2018-2019,Rabi,Vikarabad,Pargi,Wheat,18,0
2018-2019,Rabi,Vikarabad,Kulkacharla,Wheat,0,0
2018-2019,Rabi,Vikarabad,Doma,Wheat,3,0
2018-2019,Rabi,Vikarabad,Bomraspeta,Wheat,0,0
2018-2019,Rabi,Vikarabad,Dharur,Wheat,23,0
2018-2019,Rabi,Vikarabad,Kotepally,Wheat,3,12
2018-2019,Rabi,Vikarabad,Bantwaram,Wheat,15,0
2018-2019,Rabi,Vikarabad,Peddemul,Wheat,3,0
2018-2019,Rabi,Vikarabad,Tandur,Wheat,9,0
2018-2019,Rabi,Vikarabad,Basheerabad,Wheat,0,0
2018-2019,Rabi,Vikarabad,Yelal,Wheat,2,0
2018-2019,Rabi,Vikarabad,Kodangal,Wheat,0,0
2018-2019,Rabi,Vikarabad,Doulatabad,Wheat,0,0
2018-2019,Rabi,Vikarabad,Marpalle,Jowar,71,21
2018-2019,Rabi,Vikarabad,Mominpet,Jowar,68,6
2018-2019,Rabi,Vikarabad,Nawabpet,Jowar,54,35
2018-2019,Rabi,Vikarabad,Vikarabad,Jowar,47,30
2018-2019,Rabi,Vikarabad,Pudur,Jowar,104,20
2018-2019,Rabi,Vikarabad,Pargi,Jowar,35,0
2018-2019,Rabi,Vikarabad,Kulkacharla,Jowar,43,0
2018-2019,Rabi,Vikarabad,Doma,Jowar,103,10
2018-2019,Rabi,Vikarabad,Bomraspeta,Jowar,20,8
2018-2019,Rabi,Vikarabad,Dharur,Jowar,121,12
2018-2019,Rabi,Vikarabad,Kotepally,Jowar,29,16
2018-2019,Rabi,Vikarabad,Bantwaram,Jowar,108,0
2018-2019,Rabi,Vikarabad,Peddemul,Jowar,150,52
2018-2019,Rabi,Vikarabad,Tandur,Jowar,562,52
2018-2019,Rabi,Vikarabad,Basheerabad,Jowar,444,55
2018-2019,Rabi,Vikarabad,Yelal,Jowar,324,15
2018-2019,Rabi,Vikarabad,Kodangal,Jowar,581,294
2018-2019,Rabi,Vikarabad,Doulatabad,Jowar,209,66
2018-2019,Rabi,Vikarabad,Marpalle,Maize,23,18
2018-2019,Rabi,Vikarabad,Mominpet,Maize,58,11
2018-2019,Rabi,Vikarabad,Nawabpet,Maize,56,0
2018-2019,Rabi,Vikarabad,Vikarabad,Maize,104,50
2018-2019,Rabi,Vikarabad,Pudur,Maize,82,19
2018-2019,Rabi,Vikarabad,Pargi,Maize,79,53
2018-2019,Rabi,Vikarabad,Kulkacharla,Maize,49,0
2018-2019,Rabi,Vikarabad,Doma,Maize,153,82
2018-2019,Rabi,Vikarabad,Bomraspeta,Maize,0,0
2018-2019,Rabi,Vikarabad,Dharur,Maize,82,0
2018-2019,Rabi,Vikarabad,Kotepally,Maize,27,7
2018-2019,Rabi,Vikarabad,Bantwaram,Maize,30,5
2018-2019,Rabi,Vikarabad,Peddemul,Maize,11,0
