year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Kharif,Wanaparthy,Amarachintha,Paddy,1322.4,1068
2018-2019,Kharif,Wanaparthy,Madanapur,Paddy,2956.6,4227
2018-2019,Kharif,Wanaparthy,Peddamandadi,Paddy,792.2,1177
2018-2019,Kharif,Wanaparthy,Ghanpur,Paddy,1434.2,1426
2018-2019,Kharif,Wanaparthy,Gopalpet,Paddy,804,1681
2018-2019,Kharif,Wanaparthy,Revally,Paddy,556.6,1912
2018-2019,Kharif,Wanaparthy,Pangal,Paddy,1993,2363
2018-2019,Kharif,Wanaparthy,Wanaparthy,Paddy,1177.2,1694
2018-2019,Kharif,Wanaparthy,Kothakota,Paddy,3465.4,5310
2018-2019,Kharif,Wanaparthy,Atmakur,Paddy,2616,4115
2018-2019,Kharif,Wanaparthy,Pebbair,Paddy,4145.8,6229
2018-2019,Kharif,Wanaparthy,Srirangapur,Paddy,1400.2,2554
2018-2019,Kharif,Wanaparthy,Weepangandla,Paddy,2058.6,3204
2018-2019,Kharif,Wanaparthy,Chinnambavi,Paddy,1950.4,2656
2018-2019,Kharif,Wanaparthy,Amarachintha,Jowar,0.6,3
2018-2019,Kharif,Wanaparthy,Madanapur,Jowar,43.2,6
2018-2019,Kharif,Wanaparthy,Peddamandadi,Jowar,558,546
2018-2019,Kharif,Wanaparthy,Ghanpur,Jowar,531.6,251
2018-2019,Kharif,Wanaparthy,Gopalpet,Jowar,261.2,382
2018-2019,Kharif,Wanaparthy,Revally,Jowar,120.2,99
2018-2019,Kharif,Wanaparthy,Pangal,Jowar,502,302
2018-2019,Kharif,Wanaparthy,Wanaparthy,Jowar,543.4,439
2018-2019,Kharif,Wanaparthy,Kothakota,Jowar,57.6,4
2018-2019,Kharif,Wanaparthy,Atmakur,Jowar,1.6,10
2018-2019,Kharif,Wanaparthy,Pebbair,Jowar,8.8,0
2018-2019,Kharif,Wanaparthy,Srirangapur,Jowar,14.2,0
2018-2019,Kharif,Wanaparthy,Weepangandla,Jowar,94.8,0
2018-2019,Kharif,Wanaparthy,Chinnambavi,Jowar,0,0
2018-2019,Kharif,Wanaparthy,Amarachintha,Maize,0,0
2018-2019,Kharif,Wanaparthy,Madanapur,Maize,87.8,2
2018-2019,Kharif,Wanaparthy,Peddamandadi,Maize,1608.2,600
2018-2019,Kharif,Wanaparthy,Ghanpur,Maize,1420,415
2018-2019,Kharif,Wanaparthy,Gopalpet,Maize,6497.8,1416
2018-2019,Kharif,Wanaparthy,Revally,Maize,4640.2,1638
2018-2019,Kharif,Wanaparthy,Pangal,Maize,2084.8,1686
2018-2019,Kharif,Wanaparthy,Wanaparthy,Maize,2637.8,684
2018-2019,Kharif,Wanaparthy,Kothakota,Maize,137.2,38
2018-2019,Kharif,Wanaparthy,Atmakur,Maize,0.6,0
2018-2019,Kharif,Wanaparthy,Pebbair,Maize,48.8,149
2018-2019,Kharif,Wanaparthy,Srirangapur,Maize,19.4,13
2018-2019,Kharif,Wanaparthy,Weepangandla,Maize,310.4,114
2018-2019,Kharif,Wanaparthy,Chinnambavi,Maize,1168,2927
2018-2019,Kharif,Wanaparthy,Amarachintha,Red Gram,2115.2,2585
2018-2019,Kharif,Wanaparthy,Madanapur,Red Gram,1084,1720
2018-2019,Kharif,Wanaparthy,Peddamandadi,Red Gram,599,1229
2018-2019,Kharif,Wanaparthy,Ghanpur,Red Gram,201.8,272
2018-2019,Kharif,Wanaparthy,Gopalpet,Red Gram,270.2,367
2018-2019,Kharif,Wanaparthy,Revally,Red Gram,165.2,166
2018-2019,Kharif,Wanaparthy,Pangal,Red Gram,1257,1257
2018-2019,Kharif,Wanaparthy,Wanaparthy,Red Gram,575.4,569
2018-2019,Kharif,Wanaparthy,Kothakota,Red Gram,472.8,739
2018-2019,Kharif,Wanaparthy,Atmakur,Red Gram,903,1824
2018-2019,Kharif,Wanaparthy,Pebbair,Red Gram,377.6,879
2018-2019,Kharif,Wanaparthy,Srirangapur,Red Gram,192.2,143
2018-2019,Kharif,Wanaparthy,Weepangandla,Red Gram,1098.8,1303
2018-2019,Kharif,Wanaparthy,Chinnambavi,Red Gram,212,193
2018-2019,Kharif,Wanaparthy,Amarachintha,Cotton,417.8,337
