year,season,districtName,mandalName,crop,normalAreaSown,actualAreaSown
2018-2019,Rabi,Yadadri Bhuvanagiri,M.turkapally,Paddy,1197,330
2018-2019,Rabi,Yadadri Bhuvanagiri,Rajapet,Paddy,1128,430
2018-2019,Rabi,Yadadri Bhuvanagiri,Alair,Paddy,1625,470
2018-2019,Rabi,Yadadri Bhuvanagiri,Motakondur,Paddy,1215,598
2018-2019,Rabi,Yadadri Bhuvanagiri,Yadagirigutta,Paddy,906,250
2018-2019,Rabi,Yadadri Bhuvanagiri,Bhongir,Paddy,2717,400
2018-2019,Rabi,Yadadri Bhuvanagiri,Bommalaramaram,Paddy,926,150
2018-2019,Rabi,Yadadri Bhuvanagiri,Bibinagar,Paddy,6922,780
2018-2019,Rabi,Yadadri Bhuvanagiri,Pochampally,Paddy,6473,5150
2018-2019,Rabi,Yadadri Bhuvanagiri,Choutuppal,Paddy,2943,1350
2018-2019,Rabi,Yadadri Bhuvanagiri,Narayanpur,Paddy,1414,125
2018-2019,Rabi,Yadadri Bhuvanagiri,Ramannapet,Paddy,7158,3500
2018-2019,Rabi,Yadadri Bhuvanagiri,Valigonda,Paddy,5241,3450
2018-2019,Rabi,Yadadri Bhuvanagiri,Athmakur,Paddy,1895,200
2018-2019,Rabi,Yadadri Bhuvanagiri,Mothkur,Paddy,1578,1442
2018-2019,Rabi,Yadadri Bhuvanagiri,Addagudur,Paddy,872,800
2018-2019,Rabi,Yadadri Bhuvanagiri,M.turkapally,Wheat,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Rajapet,Wheat,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Alair,Wheat,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Motakondur,Wheat,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Yadagirigutta,Wheat,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Bhongir,Wheat,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Bommalaramaram,Wheat,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Bibinagar,Wheat,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Pochampally,Wheat,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Choutuppal,Wheat,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Narayanpur,Wheat,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Ramannapet,Wheat,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Valigonda,Wheat,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Athmakur,Wheat,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Mothkur,Wheat,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Addagudur,Wheat,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,M.turkapally,Jowar,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Rajapet,Jowar,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Alair,Jowar,4,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Motakondur,Jowar,0,8
2018-2019,Rabi,Yadadri Bhuvanagiri,Yadagirigutta,Jowar,2,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Bhongir,Jowar,5,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Bommalaramaram,Jowar,7,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Bibinagar,Jowar,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Pochampally,Jowar,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Choutuppal,Jowar,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Narayanpur,Jowar,4,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Ramannapet,Jowar,4,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Valigonda,Jowar,2,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Athmakur,Jowar,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Mothkur,Jowar,2,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Addagudur,Jowar,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,M.turkapally,Bajra,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Rajapet,Bajra,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Alair,Bajra,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Motakondur,Bajra,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Yadagirigutta,Bajra,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Bhongir,Bajra,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Bommalaramaram,Bajra,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Bibinagar,Bajra,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Pochampally,Bajra,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Choutuppal,Bajra,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Narayanpur,Bajra,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Ramannapet,Bajra,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Valigonda,Bajra,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Athmakur,Bajra,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Mothkur,Bajra,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Addagudur,Bajra,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,M.turkapally,Maize,5,2
2018-2019,Rabi,Yadadri Bhuvanagiri,Rajapet,Maize,6,1
2018-2019,Rabi,Yadadri Bhuvanagiri,Alair,Maize,12,1.2
2018-2019,Rabi,Yadadri Bhuvanagiri,Motakondur,Maize,8,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Yadagirigutta,Maize,4,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Bhongir,Maize,2,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Bommalaramaram,Maize,3,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Bibinagar,Maize,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Pochampally,Maize,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Choutuppal,Maize,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Narayanpur,Maize,3,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Ramannapet,Maize,5,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Valigonda,Maize,5,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Athmakur,Maize,9,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Mothkur,Maize,3,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Addagudur,Maize,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,M.turkapally,Ragi,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Rajapet,Ragi,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Alair,Ragi,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Motakondur,Ragi,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Yadagirigutta,Ragi,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Bhongir,Ragi,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Bommalaramaram,Ragi,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Bibinagar,Ragi,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Pochampally,Ragi,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Choutuppal,Ragi,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Narayanpur,Ragi,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Ramannapet,Ragi,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Valigonda,Ragi,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Athmakur,Ragi,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Mothkur,Ragi,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Addagudur,Ragi,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,M.turkapally,Korra,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Rajapet,Korra,0,0
2018-2019,Rabi,Yadadri Bhuvanagiri,Alair,Korra,0,0
