District,Mandal,Date,Rainfall (mm),humidity_min (%),Humidity_max (%)
Adilabad,Adilabad (Urban),2019-04-01,0.0,12.2,42.8
Adilabad,Adilabad (Urban),2019-04-02,0.0,14.7,19.5
Adilabad,Adilabad (Urban),2019-04-03,0.0,16.0,50.5
Adilabad,Adilabad (Urban),2019-04-04,0.0,15.8,59.2
Adilabad,Adilabad (Urban),2019-04-05,0.0,20.4,49.5
Adilabad,Adilabad (Urban),2019-04-06,0.0,18.4,41.2
Adilabad,Adilabad (Urban),2019-04-07,0.0,13.2,53.5
Adilabad,Adilabad (Urban),2019-04-08,0.0,13.0,46.5
Adilabad,Adilabad (Urban),2019-04-09,0.0,12.0,48.4
Adilabad,Adilabad (Urban),2019-04-10,0.0,11.0,50.8
Adilabad,Adilabad (Urban),2019-04-11,0.0,10.8,53.5
Adilabad,Adilabad (Urban),2019-04-12,0.0,11.6,37.4
Adilabad,Adilabad (Urban),2019-04-13,0.0,14.8,42.3
Adilabad,Adilabad (Urban),2019-04-14,0.0,13.5,43.6
Adilabad,Adilabad (Urban),2019-04-15,0.0,13.1,36.7
Adilabad,Adilabad (Urban),2019-04-16,8.3,16.2,82.3
Adilabad,Adilabad (Urban),2019-04-17,0.0,22.6,79.3
Adilabad,Adilabad (Urban),2019-04-18,0.0,26.8,57.4
Adilabad,Adilabad (Urban),2019-04-19,0.0,20.9,64.7
Adilabad,Adilabad (Urban),2019-04-20,0.0,14.9,58.4
Adilabad,Adilabad (Urban),2019-04-21,0.0,21.6,57.8
Adilabad,Adilabad (Urban),2019-04-22,0.0,19.2,56.7
Adilabad,Adilabad (Urban),2019-04-23,0.0,35.7,55.0
Adilabad,Adilabad (Urban),2019-04-24,0.0,13.3,50.8
Adilabad,Adilabad (Urban),2019-04-25,0.0,14.5,42.4
Adilabad,Adilabad (Urban),2019-04-26,0.0,11.8,37.5
Adilabad,Adilabad (Urban),2019-04-27,0.0,12.8,35.9
Adilabad,Adilabad (Urban),2019-04-28,0.0,14.7,40.5
Adilabad,Adilabad (Urban),2019-04-29,0.0,15.2,40.1
Adilabad,Adilabad (Urban),2019-04-30,0.0,14.8,39.8
Adilabad,Adilabad (Urban),2019-05-01,0.0,9.4,44.3
Adilabad,Adilabad (Urban),2019-05-02,0.0,11.2,39.4
Adilabad,Adilabad (Urban),2019-05-03,0.0,10.3,29.0
Adilabad,Adilabad (Urban),2019-05-04,0.0,17.8,26.7
Adilabad,Adilabad (Urban),2019-05-05,0.0,13.2,38.3
Adilabad,Adilabad (Urban),2019-05-06,0.0,12.6,35.5
Adilabad,Adilabad (Urban),2019-05-07,0.0,11.5,30.4
Adilabad,Adilabad (Urban),2019-05-08,0.0,10.2,27.3
Adilabad,Adilabad (Urban),2019-05-09,0.0,11.1,30.5
Adilabad,Adilabad (Urban),2019-05-10,0.0,13.2,35.7
Adilabad,Adilabad (Urban),2019-05-11,0.0,13.8,40.5
Adilabad,Adilabad (Urban),2019-05-12,0.0,17.8,46.8
Adilabad,Adilabad (Urban),2019-05-13,0.0,12.4,37.3
Adilabad,Adilabad (Urban),2019-05-14,0.0,12.8,31.4
Adilabad,Adilabad (Urban),2019-05-15,0.0,14.2,41.2
Adilabad,Adilabad (Urban),2019-05-16,0.0,11.8,44.5
Adilabad,Adilabad (Urban),2019-05-17,0.0,14.2,32.9
Adilabad,Adilabad (Urban),2019-05-18,0.0,12.6,34.2
Adilabad,Adilabad (Urban),2019-05-19,0.0,14.5,31.2
Adilabad,Adilabad (Urban),2019-05-20,0.0,13.0,38.6
Adilabad,Adilabad (Urban),2019-05-21,0.0,13.9,38.0
Adilabad,Adilabad (Urban),2019-05-22,0.0,12.2,38.8
Adilabad,Adilabad (Urban),2019-05-23,0.0,14.6,43.3
Adilabad,Adilabad (Urban),2019-05-24,0.0,15.6,44.3
Adilabad,Adilabad (Urban),2019-05-25,0.0,15.8,31.9
Adilabad,Adilabad (Urban),2019-05-26,0.0,14.8,39.6
Adilabad,Adilabad (Urban),2019-05-27,0.0,13.8,29.1
Adilabad,Adilabad (Urban),2019-05-28,0.0,13.2,28.8
Adilabad,Adilabad (Urban),2019-05-29,0.0,12.3,29.4
Adilabad,Adilabad (Urban),2019-05-30,0.0,10.6,48.9
Adilabad,Adilabad (Urban),2019-05-31,0.0,19.9,50.7
Adilabad,Adilabad (Urban),2019-04-01,0.0,11.9,24.8
Adilabad,Adilabad (Urban),2019-04-02,0.0,13.8,17.0
Adilabad,Adilabad (Urban),2019-04-03,0.0,14.6,46.3
Adilabad,Adilabad (Urban),2019-04-04,0.0,14.3,47.0
Adilabad,Adilabad (Urban),2019-04-05,0.0,17.1,40.1
Adilabad,Adilabad (Urban),2019-04-06,0.0,17.5,36.9
Adilabad,Adilabad (Urban),2019-04-07,0.0,13.2,53.5
Adilabad,Adilabad (Urban),2019-04-08,0.0,14.3,39.4
Adilabad,Adilabad (Urban),2019-04-09,0.0,12.7,45.5
Adilabad,Adilabad (Urban),2019-04-10,0.0,11.6,46.8
Adilabad,Adilabad (Urban),2019-04-11,0.0,10.5,50.4
Adilabad,Adilabad (Urban),2019-04-12,0.0,11.9,39.3
Adilabad,Adilabad (Urban),2019-04-13,0.0,15.3,40.5
Adilabad,Adilabad (Urban),2019-04-14,0.0,14.0,44.0
Adilabad,Adilabad (Urban),2019-04-15,0.0,13.3,25.4
Adilabad,Adilabad (Urban),2019-04-16,7.5,14.3,71.4
Adilabad,Adilabad (Urban),2019-04-17,0.0,22.6,66.4
Adilabad,Adilabad (Urban),2019-04-18,0.0,25.6,58.3
Adilabad,Adilabad (Urban),2019-04-19,0.0,18.3,33.5
Adilabad,Adilabad (Urban),2019-04-20,0.0,14.9,55.6
Adilabad,Adilabad (Urban),2019-04-21,0.0,22.5,55.9
Adilabad,Adilabad (Urban),2019-04-22,0.0,21.2,55.7
Adilabad,Adilabad (Urban),2019-04-23,0.0,13.4,55.0
Adilabad,Adilabad (Urban),2019-04-24,0.0,12.7,46.3
Adilabad,Adilabad (Urban),2019-04-25,0.0,10.4,24.0
Adilabad,Adilabad (Urban),2019-04-26,0.0,11.8,33.0
Adilabad,Adilabad (Urban),2019-04-27,0.0,12.8,30.7
Adilabad,Adilabad (Urban),2019-04-28,0.0,10.6,33.4
Adilabad,Adilabad (Urban),2019-04-29,0.0,10.7,22.6
Adilabad,Adilabad (Urban),2019-04-30,0.0,12.3,35.7
Adilabad,Adilabad (Urban),2019-05-01,0.0,6.2,38.8
Adilabad,Adilabad (Urban),2019-05-02,0.0,5.5,19.4
Adilabad,Adilabad (Urban),2019-05-03,0.0,6.3,26.2
Adilabad,Adilabad (Urban),2019-05-04,0.0,5.5,24.3
Adilabad,Adilabad (Urban),2019-05-05,0.0,6.2,17.2
Adilabad,Adilabad (Urban),2019-05-06,0.0,10.7,30.9
Adilabad,Adilabad (Urban),2019-05-07,0.0,5.5,16.5
Adilabad,Adilabad (Urban),2019-05-08,0.0,7.0,22.9
Adilabad,Adilabad (Urban),2019-05-09,0.0,5.5,17.0
Adilabad,Adilabad (Urban),2019-05-10,0.0,6.2,20.6
Adilabad,Adilabad (Urban),2019-05-11,0.0,5.6,18.7
Adilabad,Adilabad (Urban),2019-05-12,0.0,15.2,42.8
Adilabad,Adilabad (Urban),2019-05-13,0.0,6.2,18.7
Adilabad,Adilabad (Urban),2019-05-14,0.0,7.8,30.6
Adilabad,Adilabad (Urban),2019-05-15,0.0,14.4,39.4
Adilabad,Adilabad (Urban),2019-05-16,0.0,9.6,40.7
Adilabad,Adilabad (Urban),2019-05-17,0.0,14.3,30.7
Adilabad,Adilabad (Urban),2019-05-18,0.0,14.1,30.7
Adilabad,Adilabad (Urban),2019-05-19,0.0,14.3,30.7
Adilabad,Adilabad (Urban),2019-05-20,0.0,14.2,30.6
Adilabad,Adilabad (Urban),2019-05-21,0.0,12.0,38.1
Adilabad,Adilabad (Urban),2019-05-22,0.0,9.5,39.4
Adilabad,Adilabad (Urban),2019-05-23,0.0,14.4,42.7
Adilabad,Adilabad (Urban),2019-05-24,0.0,14.6,43.6
Adilabad,Adilabad (Urban),2019-05-25,0.0,14.4,31.2
Adilabad,Adilabad (Urban),2019-05-26,0.0,14.2,34.2
Adilabad,Adilabad (Urban),2019-05-27,0.0,14.2,28.0
Adilabad,Adilabad (Urban),2019-05-28,0.0,14.3,30.7
Adilabad,Adilabad (Urban),2019-05-29,0.0,14.3,30.7
Adilabad,Adilabad (Urban),2019-05-30,0.0,8.3,48.4
Adilabad,Adilabad (Urban),2019-05-31,0.0,16.5,50.5
Adilabad,Adilabad Rural,2019-04-01,0.0,12.8,33.8
Adilabad,Adilabad Rural,2019-04-02,0.0,10.4,47.1
Adilabad,Adilabad Rural,2019-04-03,0.0,14.0,36.3
Adilabad,Adilabad Rural,2019-04-04,0.0,17.9,52.1
Adilabad,Adilabad Rural,2019-04-05,0.0,18.5,41.8
Adilabad,Adilabad Rural,2019-04-06,0.0,16.1,33.1
Adilabad,Adilabad Rural,2019-04-07,0.0,13.2,26.4
Adilabad,Adilabad Rural,2019-04-08,0.0,13.9,42.3
Adilabad,Adilabad Rural,2019-04-09,0.0,13.6,57.8
Adilabad,Adilabad Rural,2019-04-10,0.0,12.3,60.8
Adilabad,Adilabad Rural,2019-04-11,0.0,10.0,54.9
Adilabad,Adilabad Rural,2019-04-12,0.0,11.2,40.3
Adilabad,Adilabad Rural,2019-04-13,0.0,16.1,38.9
Adilabad,Adilabad Rural,2019-04-14,0.0,12.6,35.9
Adilabad,Adilabad Rural,2019-04-15,0.0,12.8,33.4
Adilabad,Adilabad Rural,2019-04-16,2.3,17.2,68.4
Adilabad,Adilabad Rural,2019-04-17,0.0,20.9,57.5
Adilabad,Adilabad Rural,2019-04-18,0.0,25.5,49.8
Adilabad,Adilabad Rural,2019-04-19,0.0,21.0,54.8
Adilabad,Adilabad Rural,2019-04-20,0.0,15.3,53.8
Adilabad,Adilabad Rural,2019-04-21,0.0,23.3,55.9
Adilabad,Adilabad Rural,2019-04-22,0.0,15.2,55.4
Adilabad,Adilabad Rural,2019-04-23,0.0,21.9,45.5
Adilabad,Adilabad Rural,2019-04-24,0.0,17.1,47.6
Adilabad,Adilabad Rural,2019-04-25,0.0,10.1,25.5
Adilabad,Adilabad Rural,2019-04-26,0.0,10.6,35.3
Adilabad,Adilabad Rural,2019-04-27,0.0,13.3,31.5
Adilabad,Adilabad Rural,2019-04-28,0.0,13.3,38.2
Adilabad,Adilabad Rural,2019-04-29,0.0,13.3,31.7
Adilabad,Adilabad Rural,2019-04-30,0.0,14.7,38.5
Adilabad,Adilabad Rural,2019-05-01,0.0,7.6,37.6
Adilabad,Adilabad Rural,2019-05-02,0.0,7.9,22.0
Adilabad,Adilabad Rural,2019-05-03,0.0,8.8,24.7
Adilabad,Adilabad Rural,2019-05-04,0.0,8.2,24.9
Adilabad,Adilabad Rural,2019-05-05,0.0,8.7,21.3
Adilabad,Adilabad Rural,2019-05-06,0.0,10.8,28.1
Adilabad,Adilabad Rural,2019-05-07,0.0,8.0,20.3
Adilabad,Adilabad Rural,2019-05-08,0.0,8.2,18.4
Adilabad,Adilabad Rural,2019-05-09,0.0,8.8,18.4
Adilabad,Adilabad Rural,2019-05-10,0.0,9.5,24.4
Adilabad,Adilabad Rural,2019-05-11,0.0,9.2,23.5
Adilabad,Adilabad Rural,2019-05-12,0.0,14.9,44.9
Adilabad,Adilabad Rural,2019-05-13,0.0,8.8,24.8
Adilabad,Adilabad Rural,2019-05-14,0.0,11.4,37.8
Adilabad,Adilabad Rural,2019-05-15,0.0,12.9,34.7
Adilabad,Adilabad Rural,2019-05-16,0.0,10.0,40.2
Adilabad,Adilabad Rural,2019-05-17,0.0,11.2,28.2
Adilabad,Adilabad Rural,2019-05-18,0.0,11.2,27.4
Adilabad,Adilabad Rural,2019-05-19,0.0,12.5,28.6
Adilabad,Adilabad Rural,2019-05-20,0.0,11.2,28.0
