District,Mandal,Date,Rainfall (mm),humidity_min (%),Humidity_max (%)
Adilabad,Bheempoor,2019-10-01,0.0,66.9,97.7
Adilabad,Jainad,2019-10-01,0.0,68.95,97.1
Adilabad,Bela,2019-10-01,0.0,74.45,97.25
Adilabad,Gadiguda,2019-10-01,0.0,84.2,99.9
Adilabad,Narnoor,2019-10-01,0.0,76.2,96.2
Adilabad,Inderavelly,2019-10-01,0.0,66.2,97.3
Adilabad,Gudihathnur,2019-10-01,0.0,58.8,96.2
Adilabad,Adilabad Rural,2019-10-01,0.0,65.8,96.9
Adilabad,Adilabad Urban,2019-10-01,0.0,65.25,96.85
Adilabad,Mavala,2019-10-01,0.0,61.8,94.0
Adilabad,Tamsi,2019-10-01,0.0,60.9,99.0
Adilabad,Talamadugu,2019-10-01,0.2,68.4,93.65
Adilabad,Bazarhathnoor,2019-10-01,0.0,70.2,100.0
Adilabad,Boath,2019-10-01,0.0,64.75,93.25
Adilabad,Neradigonda,2019-10-01,0.0,65.9,99.7
Adilabad,Ichoda,2019-10-01,0.0,68.9,99.9
Adilabad,Sirikonda,2019-10-01,0.0,68.5,98.7
Adilabad,Utnur,2019-10-01,0.0,76.2,98.1
Komaram Bheem-Asifabad,Jainoor,2019-10-01,0.0,76.2,92.7
Komaram Bheem-Asifabad,Sirpur_U,2019-10-01,0.0,80.5,95.3
Komaram Bheem-Asifabad,Lingapur,2019-10-01,0.0,77.7,87.7
Komaram Bheem-Asifabad,Tiryani,2019-10-01,0.0,78.1,97.9
Komaram Bheem-Asifabad,Rebbana,2019-10-01,0.0,74.2,95.55
Komaram Bheem-Asifabad,Asifabad,2019-10-01,0.0,75.9,99.7
Komaram Bheem-Asifabad,Kerameri,2019-10-01,0.0,66.6,97.9
Komaram Bheem-Asifabad,Wankdi,2019-10-01,0.0,57.4,99.9
Komaram Bheem-Asifabad,Kagaznagar,2019-10-01,0.0,67.45,94.95
Komaram Bheem-Asifabad,Sirpur_T,2019-10-01,0.0,66.6666666666667,90.2666666666667
Komaram Bheem-Asifabad,Kouthala,2019-10-01,0.0,70.0,99.9
Komaram Bheem-Asifabad,Chintalamanepally,2019-10-01,0.0,72.2,94.0
Komaram Bheem-Asifabad,Bejjur,2019-10-01,0.0,68.9,95.7
Komaram Bheem-Asifabad,Penchikalpet,2019-10-01,0.0,71.8,97.6
Komaram Bheem-Asifabad,Dahegaon,2019-10-01,0.0,73.9,97.6
Mancherial,Jannaram,2019-10-01,0.0,74.25,92.75
Mancherial,Dandepalle,2019-10-01,0.5,95.65,100.0
Mancherial,Luxettipet,2019-10-01,0.0,71.3,98.9
Mancherial,Hajipur,2019-10-01,0.0,91.05,99.95
Mancherial,Kasipet,2019-10-01,0.0,78.9,95.3
Mancherial,Tandur,2019-10-01,0.0,56.5,87.7
Mancherial,Bheemini,2019-10-01,0.0,78.7,98.8
Mancherial,Kannepalli,2019-10-01,0.0,79.4,98.6
Mancherial,Vemanpalle,2019-10-01,0.0,67.3,87.9
Mancherial,Nennal,2019-10-01,0.0,76.4,99.2
Mancherial,Bellampalle,2019-10-01,0.0,82.3,98.8
Mancherial,Mandamarri,2019-10-01,0.0,82.1,99.0
Mancherial,Mancherial,2019-10-01,0.0,77.8,99.7
Mancherial,Naspur,2019-10-01,0.0,73.2,99.9
Mancherial,Jaipur,2019-10-01,0.0,72.25,94.0
Mancherial,Bhimaram,2019-10-01,0.0,74.4,100.0
Mancherial,Chennur,2019-10-01,0.3,76.35,94.7
Mancherial,Kotapalle,2019-10-01,0.0,79.3,96.6
Nirmal,Kubeer,2019-10-01,0.0,62.6,97.6
Nirmal,Tanur,2019-10-01,0.0,58.8,86.2
Nirmal,Basar,2019-10-01,0.0,70.5,89.2
Nirmal,Mudhole,2019-10-01,0.0,81.05,98.25
Nirmal,Bhainsa,2019-10-01,0.0,74.3,95.05
Nirmal,Kuntala,2019-10-01,0.0,64.2,91.3
Nirmal,Narsapur_G,2019-10-01,0.0,70.0,95.0
Nirmal,Lokeswaram,2019-10-01,0.0,70.3,94.7
Nirmal,Dilawarpur,2019-10-01,1.7,69.3,97.2
Nirmal,Sarangapur,2019-10-01,0.0,75.6,95.8
Nirmal,Nirmal,2019-10-01,0.0,77.7,99.9
Nirmal,Nirmal_Rural,2019-10-01,0.0,74.55,97.5
Nirmal,Soan,2019-10-01,0.0,72.0,96.1
Nirmal,Laxmanchanda,2019-10-01,0.0,73.5,99.3
Nirmal,Mamda,2019-10-01,0.0,65.8,98.2
Nirmal,Pembi,2019-10-01,0.0,73.5,99.2
Nirmal,Khanpur,2019-10-01,0.0,68.7,92.45
Nirmal,Kaddampeddur,2019-10-01,0.0,70.9,84.2
Nirmal,Dastuarabad,2019-10-01,0.0,74.6,92.8
Nizamabad,Navipet,2019-10-01,0.3,89.1,100.0
Nizamabad,Nandipet,2019-10-01,1.7,78.35,98.25
Nizamabad,Armur,2019-10-01,3.9,63.9,98.56
Nizamabad,Balkonda,2019-10-01,0.0,74.0,84.6
Nizamabad,Mupkal,2019-10-01,0.0,74.2,91.2
Nizamabad,Mendora,2019-10-01,0.0,74.3,97.7
Nizamabad,Yergatla,2019-10-01,0.5,82.0,100.0
Nizamabad,Kammarpalle,2019-10-01,14.8,71.0,97.65
Nizamabad,Mortad,2019-10-01,30.1,96.4,100.0
Nizamabad,Vailpur,2019-10-01,23.5,71.3,96.6
Nizamabad,Jakranpalle,2019-10-01,0.8,76.7,93.8
Nizamabad,Makloor,2019-10-01,19.5,68.6,98.55
Nizamabad,Nizamabad_North,2019-10-01,0.5,67.4,95.0
Nizamabad,Yeda_Palle,2019-10-01,0.3,76.6,98.7
Nizamabad,Ranjal,2019-10-01,0.0,81.9,100.0
Nizamabad,Bodhan,2019-10-01,0.0,75.025,97.4
Nizamabad,Kotgiri,2019-10-01,0.0,80.9,98.2
Nizamabad,Rudrur,2019-10-01,0.0,81.3,100.0
Nizamabad,Varni,2019-10-01,1.7,71.5,98.1
Nizamabad,Nizamabad_Rural,2019-10-01,0.0,84.0,100.0
Nizamabad,Nizamabad_South,2019-10-01,1.2,60.8,100.0
Nizamabad,Mugpal,2019-10-01,2.3,56.7,90.4
Nizamabad,Dichpalle,2019-10-01,17.9,64.5,86.7
Nizamabad,Indalwai,2019-10-01,14.5,89.6,100.0
Nizamabad,Dharpalle,2019-10-01,0.0,71.2,97.0
Nizamabad,Bheemgal,2019-10-01,2.9,73.9,94.5
Nizamabad,Sirkonda,2019-10-01,0.0,81.1,99.0
Nizamabad,Mosra,2019-10-01,18.5,73.6,96.2
Nizamabad,Chandur,2019-10-01,0.0,81.3,100.0
Jagtial,Ibrahimpatnam,2019-10-01,8.1,84.9,100.0
Jagtial,Mallapur,2019-10-01,5.8,82.95,100.0
Jagtial,Raikal,2019-10-01,4.1,72.65,99.35
Jagtial,Beerpur,2019-10-01,10.5,70.5,99.9
Jagtial,Sarangapur,2019-10-01,3.9,64.3,100.0
Jagtial,Dharmapuri,2019-10-01,2.8,84.7333333333333,97.9
Jagtial,Buggaram,2019-10-01,1.8,91.0,99.9
Jagtial,Jagityal_Rural,2019-10-01,26.3,77.2,99.9
Jagtial,Jagtial,2019-10-01,0.0,70.2,98.6
Jagtial,Medipalle,2019-10-01,13.3,77.2333333333333,99.8333333333333
Jagtial,Koratla,2019-10-01,12.8,82.75,99.15
Jagtial,Metpalle,2019-10-01,1.2,81.45,100.0
Jagtial,Kathlapur,2019-10-01,35.5,75.5,98.6
Jagtial,Kodimial,2019-10-01,0.9,79.35,100.0
Jagtial,Malial,2019-10-01,0.4,76.95,99.65
Jagtial,Pegadapalle,2019-10-01,0.5,68.2,93.7
Jagtial,Gollapalle,2019-10-01,1.9,74.2,99.9
Jagtial,Velgatoor,2019-10-01,0.0,82.6333333333333,98.8
Peddapalli,Dharmaram,2019-10-01,0.3,82.6,97.2
Peddapalli,Palakurthy,2019-10-01,0.0,72.95,96.6
Peddapalli,Antargoan,2019-10-01,0.0,65.8,87.0
Peddapalli,Ramagundam,2019-10-01,0.0,72.7,98.65
Peddapalli,Ramagiri,2019-10-01,0.5,72.3,99.9
Peddapalli,Kamanpur,2019-10-01,0.0,75.2,98.0
Peddapalli,Peddapalle,2019-10-01,0.3,70.5,97.6
Peddapalli,Julapalle,2019-10-01,0.0,97.8,99.9
Peddapalli,Elgaid,2019-10-01,0.0,92.2,100.0
Peddapalli,Sultanabad,2019-10-01,0.8,73.65,97.15
Peddapalli,Odela,2019-10-01,0.9,78.7,100.0
Peddapalli,Srirampur,2019-10-01,1.1,75.15,96.6
Peddapalli,Mutharam_Manthani,2019-10-01,0.5,73.6,96.5
Peddapalli,Manthani,2019-10-01,0.8,66.55,92.75
Jayashankar-Bhupalpally,Mahadevpur,2019-10-01,0.0,78.7,99.9
Jayashankar-Bhupalpally,Palmela,2019-10-01,0.0,73.0,99.9
Jayashankar-Bhupalpally,Mutharam_Mahadevpur,2019-10-01,0.7,78.0,99.9
Jayashankar-Bhupalpally,Kataram,2019-10-01,1.3,75.8,100.0
Jayashankar-Bhupalpally,Malharrao,2019-10-01,1.3,68.6333333333333,100.0
Jayashankar-Bhupalpally,Chityal,2019-10-01,7.5,77.6,99.9
Jayashankar-Bhupalpally,Tekumatla,2019-10-01,2.0,74.7,99.0
Jayashankar-Bhupalpally,Mogullapalle,2019-10-01,3.6,67.6,100.0
Jayashankar-Bhupalpally,Regonda,2019-10-01,3.2,71.3,99.9
