,District,Soil_humidity,pH
0,ADILABAD,27,6.2
1,BHADRADRI,27,6.4
2,HYDERABAD,24.33333397,6.2
3,JAGTIAL,38,5.7
4,JANGAON,38.33333206,7.6
5,JAYASHANKAR,36.33333206,5.7
6,JOGULAMBA,36.66666794,7.6
7,KAMAREDDY,39.33333206,8.1
8,KARIMNAGAR,43.33333206,6.2
9,KHAMMAM,33.66666794,5.7
10,KOMARAM BHEEM,40.33333206,5.7
11,MAHABUBABAD,39.66666794,6.8
12,MAHABUBNAGAR,29,5.7
13,MANCHERIAL,33.66666794,7.6
14,MEDAK,27.33333397,6.8
15,MEDCHAL,33,7.6
16,NAGARKURNOOL,33,6.4
17,NALGONDA,33.33333206,6.3
18,NIRMAL,34,6.8
19,NIZAMABAD,28,6.8
20,PEDDAPALLI,29.33333397,6.8
21,RAJANNA,36,8.1
22,RANGAREDDY,44,6.8
23,SANGAREDDY,42.66666794,6.4
24,SIDDIPET,37.33333206,6.4
25,SURYAPET,39,6.4
26,VIKARABAD,42,6.4
27,WANAPARTHY,36.66666794,7.9
28,WARANGAL (R),39,6.8
29,WARANGAL (U),31,6.4
30,YADADRI,31,6.4
